,lender_name,lender_id,advertiser_name,advertiser_id,match_index,score
334,VILLAGE BANK,3-0000033761,Village Bank,1178.0,325.0,100.0
335,MOUNTAIN WEST BANK,3-0000033844,Mountain West Bank,790.0,326.0,100.0
336,BAY BANK,3-0000034052,Bay Bank,161.0,327.0,100.0
337,AMERICAN ENTERPRISE BANK,3-0000034090,American Enterprise Bank,77.0,328.0,100.0
338,ILLINOIS STATE BANK,3-0000034238,Illinois State Bank,625.0,1253.0,100.0
339,MACATAWA BANK,3-0000034618,Macatawa Bank Corp,733.0,332.0,100.0
340,RELIANCE BANK,3-0000034866,Reliance Bank,958.0,334.0,100.0
341,HARTSVILLE COMMUNITY BANK,3-0000035076,,,,
342,RENASANT BANK OF TENNESSEE,3-0000035132,,,,
343,BANK OF OAK RIDGE,3-0000035365,Bank Of Oak Ridge,149.0,2189.0,100.0
344,COUNTRY BANK,3-0000035395,Country Bank,310.0,4095.0,100.0
345,TWO RIVER COMMUNITY BANK,3-0000035426,Two River Community Bank,1124.0,1259.0,100.0
346,INTEGRITY BANK,3-0000035469,Integrity Bank,632.0,2191.0,100.0
347,FIRST CHOICE BANK,3-0000057212,First Choice Bank,432.0,3142.0,100.0
348,EMBASSY BANK FOR THE LEHIGH VA,3-0000057228,Embassy Bank For The Lehigh Valley,373.0,3143.0,89.52354435582775
349,CITIZENS BANK OF PENNSYLVANIA,3-0000057282,,,,
350,TOWN & COUNTRY BANK,3-0000057312,Town & Country Bank,1107.0,243.0,100.0
351,ALLIANCE BANK OF ARIZONA,3-0000057512,,,,
352,RIVERVIEW COMMUNITY BANK,3-0000057525,Riverview Community Bank,973.0,379.0,100.0
353,HYDE PARK SAVINGS BANK,3-0000090160,Hyde Park Savings Bank,613.0,336.0,100.0
354,Bridgewater Savings Bank,3-0000090169,Bridgewater Savings Bank,183.0,337.0,100.0
355,EAST CAMBRIDGE SAVINGS BANK,3-0000090173,East Cambridge Savings Bank,365.0,338.0,100.0
356,CLINTON SAVINGS BANK,3-0000090181,Clinton Savings Bank,274.0,339.0,100.0
357,MIDDLESEX SAVINGS BANK,3-0000090183,Middlesex Savings Bank,775.0,340.0,100.0
358,INSTITUTION OF SAVINGS,3-0000090250,Institution For Savings,630.0,342.0,91.4156384746881
359,RANDOLPH SAVINGS BANK,3-0000090270,Randolph Savings Bank,952.0,343.0,100.0
360,SPENCER SAVINGS BANK,3-0000090282,Spencer Savings Bank,1052.0,344.0,100.0
361,SOUTH SHORE SAVINGS BANK,3-0000090303,South Shore Savings Bank,1041.0,346.0,100.0
362,"GREENPOINT CREDIT, LLC",3-33-0862379,,,,
363,PIEDMONT FEDERAL S&L ASSN.,4-0000000007,Piedmont Federal Savings Bank,917.0,347.0,80.94428317630515
364,HOME FEDERAL SAVINGS AND LOAN,4-0000000057,,,,
365,UNION FEDERAL SAVINGS & LOAN,4-0000000244,Union Federal Savings & Loan Assn,1141.0,349.0,91.4919326933867
366,HUNTINGTON FEDERAL SAVINGS BK,4-0000000470,,,,
367,CHEVIOT SAVINGS BANK,4-0000000597,CHEVIOT SAVINGS BANK,193.0,351.0,100.0
368,CAPITOL FEDERAL SAVINGS BANK,4-0000000670,,,,
369,"GUARDIAN SAVINGS BANK, FSB",4-0000000709,Guardian Savings,540.0,353.0,88.37806336885262
370,WASHINGTON FEDERAL S&L,4-0000000880,Washington Federal Inc,1195.0,354.0,91.49080534903034
371,HOME FEDERAL BANK,4-0000000887,Home Federal Bank,591.0,348.0,100.0
372,HOME BANK,4-0000000890,Home Bank,590.0,355.0,100.0
373,"CITIBANK, FSB",4-0000001235,,,,
374,CENTURY BANK FSB,4-0000001441,,,,
375,MIDDLESEX FEDERAL SAVINGS F.A.,4-0000001452,Middlesex Federal Savings,774.0,4120.0,94.56860771891785
376,LIBERTY FEDERAL SAVINGS BANK,4-0000001532,,,,
377,LINCOLN BANK,4-0000001959,Lincoln Bancorp,699.0,67.0,100.0
378,FIRST FEDERAL SAVINGS & LOAN,4-0000002004,First Federal Savings & Loan,442.0,360.0,100.0
379,MIDAMERICA BANK,4-0000002098,Mid America Bancorp,767.0,361.0,82.76600839065097
380,CHESAPEAKE BANK OF MARYLAND,4-0000002148,Chesapeake Bank Of MD,259.0,362.0,81.95583269685078
381,KEARNY FEDERAL SAVINGS BANK,4-0000002319,Guaranty Federal Savings,538.0,311.0,82.43659289348035
382,"SOMERSET SAVINGS BANK, SLA",4-0000002343,Somerset Savings Bank,1035.0,365.0,88.71414911348351
383,"BANKFINANCIAL, F.S.B.",4-0000002402,BankFinancial FSB,155.0,366.0,100.0
384,COLUMBIA BANK,4-0000002454,Columbia Bank,283.0,367.0,100.0
385,M&I BANK FSB,4-0000002630,,,,
386,FIRST FEDERAL CAPITAL BANK,4-0000002720,,,,
387,THIRD FEDERAL BANK,4-0000002966,Third Federal Bank,1097.0,368.0,100.0
388,TIERONE BANK,4-0000003309,Tierone Bank,1101.0,369.0,100.0
389,FIRST FEDERAL OF LAKEWOOD,4-0000003536,First Federal Bank Of FL,440.0,7027.0,80.16631055258108
390,UNITED FIDELITY BANK,4-0000003676,United Fidelity Bank,1147.0,371.0,100.0
391,WINDSOR FEDERAL SAVINGS & LOAN,4-0000003781,Windsor Federal Savings,1216.0,373.0,90.35704724875804
392,CHARLEROI FEDERAL SAVINGS BANK,4-0000003866,Charleroi Federal Savings Bank,252.0,374.0,100.0
393,LINCOLN FEDERAL SAVINGS BANK,4-0000003896,,,,
394,NORTH AMERICAN SAVINGS BANK,4-0000003927,North American Savings Bank,833.0,375.0,100.0
395,"INDYMAC BANK, F.S.B.",4-0000003970,,,,
396,FEDERAL SAVINGS BANK,4-0000003997,Federal Savings Bank,418.0,377.0,100.0
397,OHIO SAVINGS BANK,4-0000004072,,,,
398,FIRST FEDERAL BANK,4-0000004081,First Federal Bank,439.0,378.0,100.0
399,FIRST FEDERAL BANK OF THE MIDW,4-0000004192,First Federal Bank Of FL,440.0,7027.0,85.15773418872197
400,SOVEREIGN BANK,4-0000004410,,,,
401,"PRUDENTIAL SAVINGS BANK, PaSA",4-0000004543,,,,
402,THIRD FEDERAL SAVINGS AND LOAN,4-0000004544,Third Federal Savings & Loan,1098.0,381.0,92.97269671112844
403,Roma Bank,4-0000004612,Roma Bank,978.0,382.0,100.0
404,Hatboro Federal Savings,4-0000004859,Hatboro Federal Savings,573.0,383.0,100.0
405,COMMERCIAL FEDERAL BANK,4-0000005198,,,,
406,CARVER FEDERAL SAVINGS BANK,4-0000005273,Carver Federal Savings Bank,239.0,384.0,100.0
407,LAKE SHORE SAVINGS,4-0000005506,Lake Shore Savings Inc,680.0,387.0,100.0
408,E*TRADE BANK,4-0000005848,,,,
409,PROVIDENT SAVINGS BANK,4-0000006051,Provident Savings Bank,935.0,190.0,100.0
410,LEHMAN BROTHERS BANK,4-0000006069,,,,
411,EL DORADO SAVINGS BANK,4-0000006164,El Dorado Savings Bank,372.0,389.0,100.0
412,DOWNEY SAVINGS & LOAN,4-0000006189,,,,
413,FIRST FEDERAL BANK FOR SAVINGS,4-0000006468,First Federal Savings & Loan,442.0,360.0,84.04692608124033
414,"COLONIAL SAVINGS, F.A.",4-0000006809,Colonial Savings FA,281.0,391.0,100.0
415,INTERAMERICAN BANK,4-0000007506,Interamerican Bank,634.0,392.0,100.0
416,TRUSTCO BANK,4-0000007635,Trustco Bancorp,1119.0,73.0,100.0
417,SLOVENIAN SAVINGS & LOAN ASSN.,4-0000007703,Slovenian Savings & Loan,1031.0,393.0,90.67261076667684
418,UNIBANK,4-0000007785,UniBank,1138.0,394.0,100.0
419,STERLING SAVINGS BANK,4-0000007918,,,,
420,WILMINGTON SAVINGS FUNDS SOCIE,4-0000007938,,,,
421,LUTHER BURBANK SAVINGS,4-0000007960,Luther Burbank Savings,706.0,397.0,100.0
422,USAA FEDERAL SAVINGS BANK,4-0000007975,,,,
423,"STERLING BANK & TRUST, FSB",4-0000008028,Sterling Bank & Trust Fsb,1066.0,399.0,100.0
424,"DOLLAR BANK, FSB",4-0000008043,,,,
425,"BANKUNITED, FSB",4-0000008045,BankUnited Inc,157.0,401.0,80.51974412337741
426,NEW SOUTH FEDERAL SAVINGS BANK,4-0000008083,New South Federal Savings Bank,827.0,402.0,100.0
427,"CHEVY CHASE BANK, F.S.B.",4-0000008145,,,,
428,SECURITY FEDERAL SAVINGS,4-0000008146,,,,
429,"PRESIDENTIAL BANK, F.S.B.",4-0000008186,Presidential Bank,928.0,404.0,83.6197701282312
430,FLAGSTAR BANK,4-0000008412,Flagstar Bancorp Inc,471.0,405.0,100.0
431,"NETBANK, INC",4-0000008475,Netbank Inc,817.0,842.0,100.0
432,GREATER ATLANTIC BANK,4-0000008491,,,,
433,UNION FED BK OF INDIANAPOLIS,4-0000008529,,,,
434,GUARANTY BANK,4-0000008534,,,,
435,FIRST SAVINGS BANK,4-0000008547,First Savings Bank,460.0,314.0,100.0
436,"WASHINGTON MUTUAL BANK, FA",4-0000008551,,,,
437,NORTHWEST FEDERAL SAVINGS BANK,4-0000008567,,,,
438,COLOMBO BANK,4-0000008575,,,,
439,"RAYMOND JAMES BANK, FSB",4-0000012002,,,,
440,FRONTIER BANK,4-0000012117,Frontier Bank,491.0,410.0,100.0
441,WORLD SAVINGS BANK,4-0000012642,,,,
442,HOMETRUST BANK,4-0000013558,,,,
443,DOMESTIC BANK,4-0000013964,Domestic Bank,346.0,414.0,100.0
444,MIDFIRST BANK,4-0000014191,MidFirst Bank,772.0,415.0,100.0
445,"CITICORP TRUST BANK, FSB",4-0000014470,,,,
446,STATE FARM BANK,4-0000014640,,,,
447,STATEN ISLAND BANK & T C/O ICB,4-0000014684,,,,
448,HICKORY POINT BANK & TRUST FSB,4-0000014792,Hickory Point Bank & Trust,585.0,417.0,90.28986924559032
449,AIG FSB,4-0000014939,,,,
450,ALLSTATE FEDERAL SAVINGS BANK,4-0000015100,,,,
451,"HORIZON BANK, FSB",4-0000015318,,,,
452,"DORAL BANK, FSB",4-0000015365,,,,
453,ING DIRECT,4-0000016782,,,,
454,BANK MUTUAL,4-0000017079,Bank Mutual,139.0,418.0,100.0
455,Brookline Bank,4-0000017777,Brookline Bancorp Inc,184.0,230.0,100.0
456,"HARRINGTON BANK, FSB",4-0000017910,Harrington Bank,568.0,359.0,80.90762376061869
457,"GUARANTY BANK, FSB",4-0000017936,,,,
458,"CITIBANK (WEST), FSB",4-0000017941,,,,
459,PYRAMAX BANK,4-0000017954,PyraMax Bank,940.0,305.0,100.0
460,BANK @LANTEC,4-0000017960,,,,
461,CENTRIS FEDERAL CREDIT UNION,5-0000000028,Centris Federal Credit Union,247.0,419.0,100.0
462,CAMPUS FEDERAL CREDIT UNION,5-0000000079,Campus Federal Credit Union,222.0,420.0,100.0
463,AMERICAN EAGLE FEDERAL CREDIT,5-0000000080,American Eagle Federal Credit Union,76.0,421.0,91.04189711451262
464,FIRST ATLANTIC FCU,5-0000000082,,,,
465,OMAHA FEDERAL CREDIT UNION,5-0000000135,Omaha Federal Credit Union,866.0,2289.0,100.0
466,GTE FEDERAL CREDIT UNION,5-0000000196,Teg Federal Credit Union,1090.0,542.0,93.6472423342137
467,PENTAGON FEDERAL CREDIT UNION,5-0000000227,Pentagon Federal Credit Union,905.0,425.0,100.0
468,JAX FEDERAL CREDIT UNION,5-0000000340,Jax Federal Credit Union,645.0,426.0,100.0
469,STATE DEPARTMENT FEDERAL CU,5-0000000435,,,,
470,BFG FEDERAL CREDIT UNION,5-0000000511,BFG Federal Credit Union,120.0,428.0,100.0
471,UTAH FIRST CREDIT UNION,5-0000000528,Utah First Federal Credit Union,1164.0,429.0,83.0075073481487
472,nuVision Financial FCU,5-0000000566,,,,
473,COMMUNITY RESOURCE FCU,5-0000000770,,,,
474,AFFINITY FEDERAL CREDIT UNION,5-0000000857,Affinity Federal Credit Union,55.0,431.0,100.0
475,STAR USA FEDERAL CREDIT UNION,5-0000000911,Star USA Federal Credit Union,1059.0,432.0,100.0
476,RIVER CITY FCU,5-0000000926,River City Bank,969.0,247.0,81.61244319136459
477,NEW MEXICO EDUCATORS FCU,5-0000000948,,,,
478,NORTH JERSEY FCU,5-0000001015,,,,
479,SC FEDERAL CREDIT UNION,5-0000001022,Sac Federal Credit Union,1006.0,467.0,95.96768595274635
480,Coastline Federal Credit Union,5-0000001115,Coastline Federal Credit Union,276.0,437.0,100.0
481,LANGLEY FEDERAL CREDIT UNION,5-0000001261,Langley Federal Credit Union,689.0,439.0,100.0
482,Pen Air Federal Credit Union,5-0000001303,Pen Air Federal Credit Union,904.0,440.0,100.0
483,UNIVERSITY FCU,5-0000001367,,,,
484,MIDWEST AMERICA FEDERAL CU,5-0000001427,Midwest America Federal Credit Union,778.0,443.0,83.36011063914594
485,HAWAII STATE FCU,5-0000001718,,,,
486,ARIZONA FEDERAL CREDIT UNION,5-0000001747,Arizona Federal Credit Union,94.0,446.0,100.0
487,HAWAII SCHOOLS FCU,5-0000001785,,,,
488,EL PASO EMPLOYEES FCU,5-0000001792,,,,
489,HAWAIIUSA FEDERAL CREDIT UNION,5-0000001815,HawaiiUSA Federal Credit Union,577.0,449.0,100.0
490,SUNMARK FCU,5-0000001884,,,,
491,PEARL HARBOR FEDERAL CREDIT UN,5-0000001961,Pearl Harbor Federal Credit Union,903.0,451.0,95.49277702614751
492,LOCKHEED FEDERAL CREDIT UNION,5-0000001999,,,,
493,CITADEL FEDERAL CREDIT UNION,5-0000002099,Citadel Federal Credit Union,261.0,454.0,100.0
494,TUCSON FEDERAL CREDIT UNION,5-0000002157,Tucson Federal Credit Union,1121.0,455.0,100.0
495,POWER FEDERAL CREDIT UNION,5-0000003025,GPO Federal Credit Union,498.0,552.0,86.87831224004583
496,KERN SCHOOLS FEDERAL CU,5-0000003804,Kern Schools Federal Credit Union,657.0,456.0,80.65450526361278
497,SOUTH JERSEY FEDERAL CREDIT UN,5-0000003951,South Jersey Federal Credit Union,1039.0,457.0,95.34929661997298
498,MEMBER ONE FCU,5-0000004035,,,,
499,KINECTA FEDERAL CREDIT UNION,5-0000004142,Kinecta Federal Credit Union,660.0,460.0,100.0
500,WESTERN SUN FCU,5-0000004202,,,,
501,GCS FEDERAL CREDIT UNION,5-0000004336,GCS Federal Credit Union,494.0,462.0,100.0
502,THE SUMMIT FCU,5-0000004580,,,,
503,KELLOGG COMMUNITY FEDERAL C U,5-0000004702,Kellogg Community Federal Credit Union,653.0,464.0,83.83656630990623
504,UNITED SOUTHEAST FEDERAL CU,5-0000004714,United Southeast Federal Credit Union,1152.0,465.0,83.852109410958
505,BETHPAGE FEDERAL CREDIT UNION,5-0000004735,Bethpage Federal Credit Union,173.0,4233.0,100.0
506,BEAVER VALLEY FCU,5-0000004794,,,,
507,SAC FEDERAL CREDIT UNION,5-0000005400,Sac Federal Credit Union,1006.0,467.0,100.0
508,GLASS CITY FEDERAL CREDIT UNIO,5-0000005495,Glass City Federal Credit Union,516.0,469.0,98.33089970277751
509,NORTHWEST FEDERAL CREDIT UNION,5-0000005500,Northwest Federal Credit Union,845.0,4237.0,100.0
510,NFCU,5-0000005536,,,,
511,POINT MUGU FEDERAL CR UNION,5-0000005662,,,,
512,HARVESTERS FED. CREDIT UNION,5-0000005727,Harvesters Federal Credit Union,572.0,472.0,92.11464835888647
513,ANDREWS FEDERAL CREDIT UNION,5-0000005754,Andrews Federal Credit Union,90.0,473.0,100.0
514,ORNL Federal Credit Union,5-0000005797,ORNL Federal Credit Union,858.0,474.0,100.0
515,ALASKA USA FEDERAL CREDIT UNIO,5-0000005913,Alaska USA Federal Credit Union,58.0,475.0,98.42550723814044
516,SUN EAST FEDERAL CREDIT UNION,5-0000006160,Sun East Federal Credit Union,1073.0,476.0,100.0
517,DFCU FINANCIAL,5-0000006570,,,,
518,NEVADA FEDERAL CREDIT UNION,5-0000006573,NASA Federal Credit Union,795.0,7993.0,89.11926713120337
519,MSDFCU,5-0000006574,,,,
520,NECHES FEDERAL CREDIT UNION,5-0000006659,Neches Federal Credit Union,815.0,482.0,100.0
521,MEMBERS 1ST FCU,5-0000006694,,,,
522,Y 12 Federal Credit Union,5-0000006775,Y-12 Federal Credit Union,1221.0,485.0,93.53022143888658
523,PEOPLE FIRST FCU,5-0000006885,,,,
524,SUMMIT FEDERAL CREDIT UNION,5-0000007182,Summit Federal Credit Union,1071.0,463.0,100.0
525,COLUMBUS METRO FEDERAL CU,5-0000007393,Columbus Metro Federal Credit Union,285.0,1409.0,82.03033915181148
526,1ST ADVANTAGE FEDERAL CREDIT U,5-0000007448,1st Advantage Federal Credit Union,6.0,487.0,93.4678124154969
527,HUGHES FEDERAL CREDIT UNION,5-0000007531,Hughes Federal Credit Union,609.0,2347.0,100.0
528,REDSTONE FEDERAL CREDIT UNION,5-0000007544,Redstone Federal Credit Union,955.0,488.0,100.0
529,DORT FEDERAL CREDIT UNION,5-0000007569,Dort Federal Credit Union,348.0,489.0,100.0
530,CBC FEDERAL CREDIT UNION,5-0000007608,CBC Federal Credit Union,189.0,490.0,100.0
531,TRULIANT FEDERAL CREDIT UNION,5-0000007840,Truliant Federal Credit Union,1117.0,491.0,100.0
532,NECHESHUNTSMAN FEDERAL CREDIT,5-0000007916,,,,
533,WHITE SANDS FEDERAL CU,5-0000007960,White Sands Federal Credit Union,1214.0,492.0,80.18135285024108
534,TEACHERS FEDERAL CREDIT UNION,5-0000008116,Teachers Federal Credit Union,1087.0,494.0,100.0
535,GENCO FEDERAL CREDIT UNION,5-0000008585,Genco Federal Credit Union,511.0,496.0,100.0
536,FINANCE CENTER FEDERAL CU,5-0000008594,Finance Center Federal Credit Union,421.0,497.0,83.80246843594156
537,CAPITAL COMMUNICATIONS FCU,5-0000008658,,,,
538,DIRECT FEDERAL CREDIT UNION,5-0000009071,Direct Federal Credit Union,341.0,500.0,100.0
539,Neighbors Federal Credit Union,5-0000009229,Neighbors Federal Credit Union,816.0,4265.0,100.0
540,L&N FEDERAL CREDIT UNION,5-0000009260,L&N Federal Credit Union,665.0,502.0,100.0
541,ROBINS FEDERAL CREDIT UNION,5-0000009331,Robins Federal Credit Union,974.0,504.0,100.0
542,MCCOY FEDERAL CREDIT UNION,5-0000009915,McCoy Federal Credit Union,743.0,507.0,100.0
543,MACDILL FEDERAL CREDIT UNION,5-0000009976,Tyndall Federal Credit Union,1125.0,513.0,83.73230276244678
544,Heritage Trust Federal Credit,5-0000009986,Heritage Trust Federal Credit Union,583.0,508.0,90.73795316874835
545,SAFE Federal Credit Union,5-0000009988,SAFE Federal Credit Union,984.0,509.0,100.0
546,MAX FEDERAL CREDIT UNION,5-0000010391,Max Federal Credit Union,741.0,510.0,100.0
547,UNIVERSITY OF HAWAII FCU,5-0000010465,,,,
548,UTAH COMMUNITY CREDIT UNION,5-0000010709,Utah Community Credit Union,1163.0,512.0,100.0
549,TYNDALL FEDERAL CREDIT UNION,5-0000010754,Tyndall Federal Credit Union,1125.0,513.0,100.0
550,ARKANSAS FEDERAL CREDIT UNION,5-0000010920,Arkansas Federal Credit Union,96.0,514.0,100.0
551,SECURITY SERVICE FCU,5-0000011065,,,,
552,SHREVEPORT FEDERAL CREDIT UNIO,5-0000011263,Shreveport Federal Credit Union,1025.0,516.0,98.38235065975297
553,SANDIA AREA FEDERAL CREDIT UNI,5-0000011316,Sandia Area Federal Credit Union,1014.0,517.0,96.98308150464247
554,FAMILY TRUST FEDERAL CU,5-0000011554,Family Trust Federal Credit Union,414.0,518.0,80.6042997834782
555,Ent Federal Credit Union,5-0000011570,ENT Federal Credit Union,358.0,519.0,100.0
556,KIRTLAND FEDERAL CREDIT UNION,5-0000012199,Kirtland Federal Credit Union,662.0,4282.0,100.0
557,CHARTWAY FEDERAL CU,5-0000013242,,,,
558,ABNB FEDERAL CREDIT UNION,5-0000013605,ABNB Federal Credit Union,15.0,522.0,100.0
559,VISTA FEDERAL CREDIT UNION,5-0000013697,VISTA FEDERAL CREDIT UNION,1166.0,523.0,100.0
560,VIRGINIA BEACH SCHOOLS FCU,5-0000013772,,,,
561,DIAMOND VALLEY FEDERAL CU,5-0000014135,Diamond Valley Federal Credit Union,339.0,525.0,82.44864378463816
562,MISSION FEDERAL CREDIT UNION,5-0000014384,Mission Federal Credit Union,782.0,526.0,100.0
563,HARTFORD FEDERAL CREDIT UNION,5-0000014388,Hartford Federal Credit Union,570.0,527.0,100.0
564,LA CAPITOL FCU,5-0000014568,,,,
565,ASI FEDERAL CREDIT UNION,5-0000014692,ASI Federal Credit Union,42.0,528.0,100.0
566,PINNACLE FEDERAL CREDIT UNION,5-0000015095,Pinnacle Federal Credit Union,918.0,529.0,100.0
567,MID-HUDSON VALLEY FEDERAL C.U.,5-0000015766,Mid-Hudson Valley Federal Credit Union,771.0,531.0,83.1471107131701
568,HERITAGE FEDERAL CREDIT UNION,5-0000016626,Heritage Federal Credit Union,582.0,532.0,100.0
569,LANCO FEDERAL CREDIT UNION,5-0000016657,Lanco Federal Credit Union,685.0,3341.0,100.0
570,PEOPLES FEDERAL CREDIT UNION,5-0000016993,Peoples Federal Credit Union,912.0,534.0,100.0
571,R.I.A. FEDERAL CREDIT UNION,5-0000017117,RIA Federal Credit Union,947.0,536.0,100.0
572,VISIONS FEDERAL CREDIT UNION,5-0000017429,Visions Federal Credit Union,1182.0,4299.0,100.0
573,USAlliance Federal Credit Unio,5-0000017587,USAlliance Federal Credit Union,1131.0,537.0,98.39161962996947
574,SUFFOLK FEDERAL CREDIT UNION,5-0000017914,Suffolk Federal Credit Union,1069.0,538.0,100.0
575,COASTAL FEDERAL CREDIT UNION,5-0000018297,Coastal Federal Credit Union,275.0,539.0,100.0
576,CROSS VALLEY FEDERAL CREDIT UN,5-0000019228,Cross Valley Federal Credit Union,323.0,541.0,95.38602122376236
577,TEG FEDERAL CREDIT UNION,5-0000019401,Teg Federal Credit Union,1090.0,542.0,100.0
578,UT FEDERAL CREDIT UNION,5-0000019448,UT Federal Credit Union,1133.0,543.0,100.0
579,AMERICHOICE FCU,5-0000020041,,,,
580,FRANKLIN MINT FEDERAL CU,5-0000020042,Franklin Mint Federal Credit Union,483.0,545.0,82.50078219682072
581,XEROX FEDERAL CREDIT UNION,5-0000020068,Max Federal Credit Union,741.0,510.0,81.76922096601476
582,BEACH MUNICIPAL FCU,5-0000020394,,,,
583,JOHNS HOPKINS FCU,5-0000020623,,,,
584,ALTERNATIVES FEDERAL CREDIT UN,5-0000023283,ALTERNATIVES FEDERAL CREDIT UNION,25.0,4311.0,95.41529388064687
585,DIGITAL FEDERAL CREDIT UNION,5-0000023521,Digital Federal Credit Union,340.0,556.0,100.0
586,NOTRE DAME FEDERAL CU,5-0000024034,Notre Dame Federal Credit Union,848.0,558.0,80.09487047605602
587,FOUNDERS FEDERAL CREDIT UNION,5-0000024063,Founders Federal Credit Union,479.0,559.0,100.0
588,U.K. FEDERAL CREDIT UNION,5-0000024165,UT Federal Credit Union,1133.0,543.0,91.24865220950338
589,ADVANTAGE FEDERAL CREDIT UNION,5-0000024181,Advantage Federal Credit Union,53.0,4316.0,100.0
590,TELCOE FEDERAL CREDIT UNION,5-0000024202,Telcoe Federal Credit Union,1092.0,561.0,100.0
591,SOMERSET FEDERAL CREDIT UNION,5-0000024239,Somerset Federal Credit Union,1034.0,562.0,100.0
592,NORTHCOUNTRY FCU,5-0000024312,,,,
593,WINGS FINANCIAL FEDERAL CREDIT,5-0000024351,,,,
594,HIWAY FEDERAL CREDIT UNION,5-0000024360,Hiway Federal Credit Union,589.0,565.0,100.0
595,SACU,5-0000024382,,,,
596,DENVER COMMUNITY FEDERAL C. U.,5-0000024419,,,,
597,ALLEGACY FEDERAL CREDIT UNION,5-0000024438,Allegacy Federal Credit Union,59.0,569.0,100.0
598,Tinker Federal Credit Union,5-0000024524,Tinker Federal Credit Union,1103.0,570.0,100.0
599,WEBSTER FIRST FEDERAL C U,5-0000024557,Webster First Federal Credit Union,1201.0,571.0,84.9107945093054
600,Greylock Federal Credit Union,5-0000024560,Greylock Federal Credit Union,533.0,572.0,100.0
601,ESL FEDERAL CREDIT UNION,5-0000024563,ESL Federal Credit Union,361.0,573.0,100.0
602,FIRST FEDERAL CREDIT UNION,5-0000024673,First Federal Credit Union,441.0,626.0,100.0
603,CYPRUS FEDERAL CREDIT UNION,5-0000024688,Campus Federal Credit Union,222.0,420.0,82.82293513008659
604,MOUNTAIN AMERICA CREDIT UNION,5-0000024692,Mountain America Credit Union,789.0,636.0,100.0
605,GOLDENWEST CREDIT UNION,5-0000024693,Goldenwest Credit Union,522.0,635.0,100.0
606,AMERICA FIRST CREDIT UNION,5-0000024694,America First Credit Union,74.0,581.0,100.0
607,GULF WINDS FCU,5-0000024702,,,,
608,DESERET FIRST CREDIT UNION,5-0000024708,Deseret First Credit Union,336.0,714.0,100.0
609,MEMBERS CREDIT UNION,5-0000060002,Members Credit Union,753.0,576.0,100.0
610,WASHINGTON STATE EFCU,5-0000060042,,,,
611,GOVERNMENT EMPLOYEES CU,5-0000060058,,,,
612,TEACHERS CREDIT UNION,5-0000060060,TCU Teachers Credit Union,1081.0,579.0,86.89671768484656
613,CREDIT UNION OF AMERICA,5-0000060062,Credit Union Of America,317.0,580.0,100.0
614,ACHIEVA CU,5-0000060087,,,,
615,SUNSHINE STATE CREDIT UNION,5-0000060094,SUNSHINE STATE CREDIT UNION,1003.0,583.0,100.0
616,ANOKA HENNEPIN CREDIT UNION,5-0000060148,Anoka Hennepin Credit Union,92.0,584.0,100.0
617,MUNICIPAL CREDIT UNION,5-0000060153,Municipal Credit Union,792.0,585.0,100.0
618,CHARLOTTE METRO CREDIT UNION,5-0000060154,Charlotte Metro Credit Union,254.0,586.0,100.0
619,GREAT LAKES CREDIT UNION,5-0000060238,Great Lakes Credit Union,525.0,587.0,100.0
620,STATE EMPLOYEES CREDIT UNION,5-0000060249,State Employees Credit Union,1061.0,588.0,100.0
621,Freedom Credit Union,5-0000060275,Freedom Credit Union,485.0,702.0,100.0
622,NORTHWEST COMMUNITY CREDIT UNI,5-0000060276,Northwest Community Credit Union,844.0,590.0,96.67742368321947
623,IH MISSISSIPPI VALLEY CREDIT U,5-0000060337,,,,
624,WEOKIE CREDIT UNION,5-0000060380,,,,
625,ST. LOUIS COMMUNITY CU,5-0000060400,,,,
626,FINANCIAL CENTER CREDIT UNION,5-0000060463,Financial Center Credit Union,423.0,594.0,100.0
627,ASSOCIATED CREDIT UNION,5-0000060484,Associated Credit Union,103.0,595.0,100.0
628,COMMUNITY TRUST CREDIT UNION,5-0000060543,Community Trust Credit Union,298.0,596.0,100.0
629,TULSA TEACHERS CREDIT UNION,5-0000060553,Tulsa Teachers Credit Union,1123.0,597.0,100.0
630,TULSA FEDERAL EMPLOYEES CU,5-0000060575,Tulsa Federal Employees Credit Union,1122.0,598.0,83.05861736422871
631,PATELCO CREDIT UNION,5-0000060585,Patelco Credit Union,899.0,599.0,100.0
632,FAMILY SECURITY CREDIT UNION,5-0000060605,Family Security Credit Union,413.0,600.0,100.0
633,ASSOCIATED CREDIT UNION/TEXAS,5-0000060608,Associated Credit Union,103.0,595.0,90.04306132400255
634,COMMONWEALTH CREDIT UNION,5-0000060675,Commonwealth Credit Union,291.0,601.0,100.0
635,PUBLIC SERVICE CU,5-0000060683,,,,
636,ARROWHEAD CREDIT UNION,5-0000060700,Arrowhead Credit Union,98.0,603.0,100.0
637,THE FAMILY CREDIT UNION,5-0000060728,Family Credit Union,411.0,604.0,100.0
638,California Credit Union,5-0000060784,California Credit Union,220.0,605.0,100.0
639,REDWOOD CREDIT UNION,5-0000060793,Redwood Credit Union,956.0,606.0,100.0
640,NEW HORIZONS CREDIT UNION,5-0000060799,New Horizons Credit Union,824.0,608.0,100.0
