,lender_name,lender_id,advertiser_name,advertiser_id,match_index,score
66,"COMMERCE BANK, NA",1-0000017094,Commerce Bank,288.0,265.0,100.0
67,LIBERTY NATIONAL BANK,1-0000017553,Liberty National Bank,698.0,66.0,100.0
68,HOME STATE BANK N.A.,1-0000018763,Home State Bank,595.0,68.0,100.0
69,UNITY BANK,1-0000021008,Unity Bancorp Inc,1155.0,69.0,100.0
70,FIFTH THIRD BANK,1-0000021963,Fifth Third Bancorp,419.0,70.0,100.0
71,PATRIOT NATIONAL BANK,1-0000022545,Patriot National Bank,901.0,71.0,100.0
72,WACHOVIA BANK OF DELAWARE,1-0000022559,,,,
73,"BLUE RIDGE BANK, N.A.",1-0000022984,,,,
74,PATRIOT BANK N A,1-0000023088,Patriot Bank Corp,900.0,76.0,100.0
75,"CHASE MANHATTAN BANK USA, NA",1-0000023160,,,,
76,LANDMARK COMMUNITY BANK NA,1-0000023193,Landmark Community Bank,687.0,78.0,100.0
77,MALVERN NATIONAL BANK,1-0000023202,,,,
78,BARRINGTON BANK & TRUST CO.,1-0000023216,,,,
79,TCF NATIONAL BANK,1-0000023253,,,,
80,US BANK NORTH DAKOTA,1-0000023446,,,,
81,"ASSOCIATED BANK, N.A.",1-0000023695,Associated Bancorp,102.0,80.0,100.0
82,NATIONAL BANK OF KANSAS CITY,1-0000023748,National Bank Of KS City,810.0,3841.0,88.20874187877841
83,"MILLENNIUM BANK, N.A.",1-0000023828,Millennium Bank,781.0,83.0,100.0
84,HOMETOWN NATIONAL BANK,1-0000023868,Hometown National Bank,604.0,77.0,100.0
85,BANKNORTH N.A.,1-0000024096,,,,
86,TREASURY BANK NATIONAL ASSOC.,1-0000024141,,,,
87,FIRST NATIONAL BANK OF ARIZONA,1-0000024189,FIRST NATIONAL BANK OF AZ,398.0,1004.0,89.57861957441735
88,CHARTER ONE BANK,1-0000024340,,,,
89,"CHARLES SCHWAB BANK, N.A.",1-0000024366,Charles Schwab Corp,253.0,3846.0,100.0
90,"SOUTH CENTRAL BANK, N.A.",1-0000024430,South Central Bank,1038.0,252.0,100.0
91,WEBSTER BANK NA,1-0000024469,Webster Bank,1200.0,412.0,100.0
92,"HSBC BANK USA, NATIONAL ASSOC.",1-0000024522,,,,
93,BEDFORD FEDERAL SAVINGS BANK,1-0000024549,Bedford Federal Savings Bank,167.0,370.0,100.0
94,PULASKI BANK,2-0000001146,Pulaski Bank,938.0,85.0,100.0
95,1ST FINANCIAL BANK,2-0000050957,1ST FINANCIAL,1.0,1934.0,100.0
96,JOHNSON BANK,2-0000058243,,,,
97,COMERICA BANK,2-0000060143,Comerica Inc,286.0,87.0,100.0
98,HARRIS TRUST AND SAVINGS BANK,2-0000075633,,,,
99,IRWIN UNION BANK & TRUST,2-0000130943,,,,
100,STERLING BANK,2-0000147174,Sterling Bank,1065.0,138.0,100.0
101,BANK OF COMMERCE,2-0000152057,Bank Of Commerce,143.0,94.0,100.0
102,COUNTY BANK,2-0000191663,County Bank,311.0,90.0,100.0
103,EAST WEST BANK,2-0000197478,East West Bancorp,366.0,317.0,100.0
104,THE NORTHERN TRUST COMPANY,2-0000210434,Northern Trust Corp,838.0,91.0,100.0
105,CHESAPEAKE BANK,2-0000214722,Chesapeake Bank,258.0,92.0,100.0
106,DEUTSCHE BANK TRUST COMPANY AM,2-0000214807,,,,
107,REGIONS BANK,2-0000233031,,,,
108,AMSOUTH BANK,2-0000245333,Amsouth Bancorp,88.0,95.0,100.0
109,FIRST SOUTHERN BANK,2-0000279338,First Southern Bank,464.0,96.0,100.0
110,AMERICAN HERITAGE BANK,2-0000311050,American Heritage Bank,80.0,1018.0,100.0
111,ARVEST BANK GROUP,2-0000311845,Arvest Bank Group Inc,100.0,97.0,100.0
112,ORRSTOWN BANK,2-0000342410,Orrstown Bank,874.0,98.0,100.0
113,FIRST PREMIER BANK,2-0000374653,First Premier Bank,457.0,100.0,100.0
114,COLE TAYLOR BANK,2-0000412135,,,,
115,COMMERCIAL BANK,2-0000497039,Commercial Bank,289.0,102.0,100.0
116,MANUFACTURERS AND TRADERS TR,2-0000501105,,,,
117,SANDY SPRING BANK,2-0000506922,Sandy Spring Bancorp Inc,1015.0,1026.0,100.0
118,BANK INDEPENDENT,2-0000539032,Bank Independent,138.0,104.0,100.0
119,EQUITABLE BANK,2-0000543637,Equitable Bank,379.0,105.0,100.0
120,SKY BANK,2-0000576710,Sky Bank,1030.0,107.0,100.0
121,TOWN AND COUNTRY BANK,2-0000590248,Town & Country Bank,1107.0,243.0,82.39056293549224
122,Provident Bank,2-0000612618,Provident Bank,933.0,108.0,100.0
123,PLAINSCAPITAL BANK,2-0000637451,,,,
124,Adirondack Trust,2-0000645317,Adirondack Trust Co,50.0,110.0,100.0
125,"WESBANCO BANK, INC.",2-0000645625,Wesbanco Inc,1204.0,111.0,100.0
126,"SUNTRUST BANKS, INC",2-0000675332,,,,
127,TRI COUNTY BANK,2-0000695349,Tri-County Bank,1113.0,114.0,80.38770969538331
128,COMPASS BANK,2-0000697633,,,,
129,SOLVAY BANK,2-0000722816,Solvay Bank,1033.0,116.0,100.0
130,SOUTHSIDE BANK,2-0000790721,Southside Bank,1046.0,186.0,100.0
131,SOUTH TRUST BANK,2-0000817833,Southtrust Corp,1047.0,117.0,93.28051290737928
132,HEARTLAND BANK,2-0000853112,Heartland Bank,579.0,118.0,100.0
133,THE BANK OF MARION,2-0000858528,Bank Of Marion,145.0,119.0,100.0
134,CANADIAN STATE BANK,2-0000866859,,,,
135,CAPITAL CITY BANK,2-0000876634,Capital City Bank,228.0,120.0,100.0
136,PEOPLES BANK AND TRUST CO.,2-0000909055,Peoples Bank & Trust Co,908.0,121.0,85.55046493830666
137,TIOGA STATE BANK,2-0000910118,Tioga State Bank,1104.0,122.0,100.0
138,AMERISERV FINANCIAL BANK,2-0000928618,Ameriserv Financial Inc,87.0,124.0,100.0
139,BANCO POPULAR DE PUERTO RICO,2-0000940311,,,,
140,PEOPLES COMMUNITY BANK,2-0000947628,Peoples Community Bank,910.0,126.0,100.0
141,M&I MARSHALL & ILSLEY BANK,2-0000983448,,,,
142,1ST SOURCE BANK,2-0000991340,1st Source Bank,9.0,127.0,100.0
143,FIRST MIDWEST BANK,2-0001007846,First Midwest Bank,448.0,48.0,100.0
144,RESOURCE BANK,2-0001216291,Resource Bank,963.0,132.0,100.0
145,QUAD CITY BANK AND TRUST,2-0002142155,Quad City Bank & Trust Co,941.0,142.0,88.16399376084864
146,VALLEY BANK,2-0002303086,Valley Bank,1167.0,143.0,100.0
147,FIRST BANK & TRUST,2-0002333298,First Bank & Trust,428.0,144.0,100.0
148,SOUTHERN COMMUNITY BK & TRUST,2-0002514547,Southern Community Bank & Trust,1043.0,329.0,94.58793801818067
149,COMMUNITY SAVINGS  BANK,2-0002544991,Community Savings Bank,297.0,302.0,100.0
150,MONARCH BANK,2-0002718345,Monarch Bank,783.0,146.0,100.0
151,BANK OF WILLIAMSBURG,2-0002736442,,,,
152,BANK OF THE JAMES,2-0002787770,Bank Of The James,150.0,1071.0,100.0
153,BANK OF THE OZARKS,3-0000000110,,,,
154,EXCHANGE BANK,3-0000000160,Exchange Bank,385.0,148.0,100.0
155,CLINTON BANK AND TRUST COMPANY,3-0000000307,,,,
156,AMALGAMATED BANK,3-0000000622,Amalgamated Bank,69.0,150.0,100.0
157,KENTUCKY BANK,3-0000000734,Kentucky Bank,656.0,151.0,100.0
158,WASHINGTON TRUST BANK,3-0000001281,Washington Trust Bank,1197.0,153.0,100.0
159,FARMERS BANK,3-0000001296,Farmers Bank,416.0,154.0,100.0
160,LAKE AREA BANK,3-0000001390,Lake Area Bank,677.0,155.0,100.0
161,THE MECHANICS BANK,3-0000001768,Mechanics Bank,745.0,156.0,100.0
162,BROTHERHOOD BANK & TRUST,3-0000001874,Brotherhood Bank & Trust,185.0,157.0,100.0
163,"TRADITIONAL BANK, INC.",3-0000002711,Traditional Bank,1111.0,1083.0,100.0
164,BANK OF THE WEST,3-0000003514,,,,
165,UNION STATE BANK,3-0000005602,Union State Bank,1144.0,160.0,100.0
166,SOUTHEASTERN BANK,3-0000005685,,,,
167,COMMUNITY BANK & TRUST,3-0000005702,Community Bank & Trust,292.0,145.0,100.0
168,NEW WINDSOR STATE BANK,3-0000005866,New Windsor State Bank,828.0,162.0,100.0
169,BANKPLUS,3-0000005903,BankPlus,156.0,163.0,100.0
170,ALLEGHENY VALLEY BANK OF PGH,3-0000006058,Allegheny Valley Bancorp Inc,60.0,164.0,81.38323008992666
171,BANK OF BOTETOURT,3-0000006137,Bank Of Botetourt,142.0,165.0,100.0
172,LAYTON STATE BANK,3-0000006191,Layton State Bank,690.0,166.0,100.0
173,FIRST COMMONWEALTH BANK,3-0000007468,,,,
174,FULTON BANK,3-0000007551,,,,
175,GREAT WESTERN BANK,3-0000008327,Great Western Bancorp Inc,528.0,170.0,100.0
176,FIRST STATE BANK OF RUSH CITY,3-0000008545,,,,
177,FIRST BANK,3-0000008663,,,,
178,PEOPLES STATE BANK,3-0000008714,,,,
179,THE PALMETTO BANK,3-0000008997,Palmetto Bank,896.0,171.0,100.0
180,THE HARVARD STATE BANK,3-0000009079,Harvard State Bank,571.0,172.0,100.0
181,UNITED SOUTHERN BANK,3-0000009309,United Southern Bank,1153.0,174.0,100.0
182,WASHINGTON MUTUAL BANK,3-0000009576,,,,
183,EAGLE BANK,3-0000009676,Eagle Bank,363.0,175.0,100.0
184,ROCKLAND TRUST COMPANY,3-0000009712,Rockland Trust Co,976.0,176.0,100.0
185,MIDWEST BANK,3-0000009737,Midwest Bank Na,779.0,139.0,100.0
186,BRANCH BANKING AND TRUST CO,3-0000009846,,,,
187,MID PENN BANK,3-0000009889,Mid Penn Bancorp Inc,769.0,178.0,100.0
188,FARMERS AND MERCHANTS BANK,3-0000009963,,,,
189,FIRST STATE BANK AND TRUST,3-0000010159,First State Bank & Trust,466.0,180.0,90.27181232987722
190,WESTERN BANK,3-0000010203,Western Bank Corp Inc,1209.0,181.0,100.0
191,STATE BANK,3-0000010346,State Bank,1060.0,182.0,100.0
192,"THE EXCHANGE BANK, SKIATOOK",3-0000010672,,,,
193,PIONEER BANK,3-0000010734,Pioneer Bank,919.0,183.0,100.0
194,S&T BANK,3-0000011124,S&T Bancorp Inc,983.0,184.0,100.0
195,CENTURY BANK,3-0000011448,Century Bank,248.0,185.0,100.0
196,AUSTIN BANK OF CHICAGO,3-0000011694,,,,
197,BANKORION,3-0000011739,,,,
198,BANCORPSOUTH BANK,3-0000011813,BancorpSouth Inc,135.0,189.0,100.0
199,MONROE BANK & TRUST,3-0000012181,Monroe Bank & Trust,786.0,191.0,100.0
200,CARROLLTON BANK,3-0000012383,Carrollton Bancorp,237.0,192.0,100.0
201,HOMETOWN BANK,3-0000012781,Hometown Bank,603.0,239.0,100.0
202,PARK BANK,3-0000013054,Park Bank,898.0,193.0,100.0
203,LAKE CITY BANK,3-0000013102,Lake City Bank,678.0,194.0,100.0
204,UNITED BANK & TRUST,3-0000013177,United Bank & Trust,1145.0,195.0,100.0
205,LINCOLN SAVINGS BANK,3-0000014207,Clinton Savings Bank,274.0,339.0,83.64580884240213
206,HORIZON BANK,3-0000014327,Horizon Bank,606.0,196.0,100.0
207,GUARANTY BANK & TRUST COMPANY,3-0000014704,Guaranty Bank & Trust Co,537.0,197.0,100.0
208,UNITED BANK AND TRUST COMPANY,3-0000015608,United Bank & Trust,1145.0,195.0,86.02704424388435
209,SHOREBANK,3-0000015640,,,,
210,CARTER COUNTY BANK,3-0000015685,Carter County Bank,238.0,199.0,100.0
211,ULSTER SAVINGS BANK,3-0000015970,Ulster Savings Bank,1135.0,201.0,100.0
212,NEW YORK COMMUNITY BANK,3-0000016022,New York Community Bancorp Inc,829.0,202.0,100.0
213,RIDGEWOOD SAVINGS BANK,3-0000016026,Ridgewood Savings Bank,968.0,203.0,100.0
214,WAUKESHA STATE BANK,3-0000016160,Waukesha State Bank,1199.0,204.0,100.0
215,JEFFERSON STATE BANK,3-0000016470,,,,
216,METAIRIE BANK & TRUST,3-0000016539,Metairie Bank & Trust Co,763.0,207.0,100.0
217,STANDARD BANK AND TRUST CO,3-0000016606,Standard Bank & Trust Co,1058.0,208.0,89.09883954380432
218,TORRINGTON SAVINGS BANK,3-0000016636,Torrington Savings Bank,1106.0,209.0,100.0
219,SOUTHWEST BANK,3-0000016652,Southwest Bank,1048.0,152.0,100.0
220,NORTHEAST BANK,3-0000016659,Northeast Bank,837.0,210.0,100.0
221,ITASCA BANK & TRUST CO,3-0000016666,Itasca Bank & Trust Co,641.0,211.0,100.0
222,LEXINGTON STATE BANK,3-0000016799,,,,
223,THE BANK OF GLEN BURNIE,3-0000016820,Bank of Glen Burnie,153.0,213.0,100.0
224,PROSPERITY BANK,3-0000016835,,,,
225,FIRST AMERICAN BANK AND TRUST,3-0000016858,,,,
226,DELAWARE COUNTY BANK & TRUST,3-0000016940,Delaware County Bank & Trust Cs,332.0,216.0,93.23796773565194
227,CITIZENS BANK OF RHODE ISLAND,3-0000016954,,,,
228,UMPQUA BANK,3-0000017266,Umpqua Holdings Corp,1136.0,218.0,100.0
229,CENTRAL PACIFIC BANK,3-0000017308,Central Pacific Bank,245.0,219.0,100.0
230,FIRST BANK OF HIGHLAND PARK,3-0000017470,First Bank Of Highland Park,429.0,221.0,100.0
231,MECHANICS SAVINGS BANK,3-0000017476,Mechanics Savings Bank,746.0,222.0,100.0
232,COMMERCE BANK & TRUST COMPANY,3-0000017484,,,,
233,SOY CAPITAL BANK & TRUST CO.,3-0000017598,,,,
234,NORWAY SAVINGS BANK,3-0000017658,Norway Savings Bank,846.0,224.0,100.0
235,TERRE HAUTE SAVINGS BANK,3-0000017736,Terre Haute Savings Bank,1095.0,225.0,100.0
236,SACO & BIDDEFORD SAVINGS INST,3-0000017743,Saco & Biddeford Savings Institution,1007.0,226.0,87.79510439376382
237,GORHAM SAVINGS BANK,3-0000017748,Gorham Savings Bank,523.0,227.0,100.0
238,BATH SAVINGS INSTITUTION,3-0000017749,Bath Savings Institution,160.0,228.0,100.0
239,ANDROSCOGGIN SAVINGS BANK,3-0000017751,,,,
240,CAMBRIDGE SAVINGS BANK,3-0000017870,Cambridge Savings Bank,221.0,231.0,100.0
241,SKAGIT STATE BANK,3-0000017874,Skagit State Bank,1029.0,232.0,100.0
242,CITY BANK,3-0000018035,City Bank,270.0,233.0,100.0
243,ADVANTAGE BANK,3-0000018152,Advantage Bank,52.0,2192.0,100.0
244,UNION SAVINGS BANK,3-0000018190,Union Savings Bank,1143.0,235.0,100.0
245,NEWTOWN SAVINGS BANK,3-0000018199,Newtown Savings Bank,832.0,236.0,100.0
246,ROCKVILLE BANK,3-0000018203,Rockville Bank,977.0,237.0,100.0
247,FAIRFIELD COUNTY BANK CORP.,3-0000018213,Fairfield County Bank,408.0,238.0,100.0
248,CHELSEA GROTON SAVING BANK,3-0000018238,,,,
249,THOMASTON SAVINGS BANK,3-0000018258,Thomaston Savings Bank,1099.0,241.0,100.0
250,BANGOR SAVINGS BANK,3-0000018408,Bangor Savings Bank,136.0,242.0,100.0
251,WEST SUBURBAN BANK,3-0000018509,West Suburban Bank,1206.0,244.0,100.0
252,FIRST SERVICE BANK,3-0000018519,First Service Bank,461.0,245.0,100.0
253,FIRSTBANK OF COLORADO,3-0000018714,,,,
254,RIVER CITY BANK,3-0000018983,River City Bank,969.0,247.0,100.0
255,SOUTHWESTERN BANK,3-0000019181,Southwest Bank,1048.0,152.0,82.60912371957905
256,CAPITAL BANK,3-0000019195,Capital Bank,226.0,248.0,100.0
257,FREMONT BANK,3-0000019222,Fremont Bank,488.0,249.0,100.0
258,FIRST CITIZENS BANK,3-0000019304,First Citizens Bancorp Inc,433.0,250.0,100.0
259,KEYSTONE BANK,3-0000019435,,,,
260,LAKESIDE BANK,3-0000019573,Lakeside Bancorp,684.0,253.0,100.0
261,BANCO BILBAO VIZCAYA ARGENTARI,3-0000019919,Banco Bilbao Vizcaya Argentaria SA,133.0,115.0,93.88432074493905
262,LAKELAND BANK,3-0000019953,Lakeland Bancorp Inc,682.0,255.0,100.0
263,REPUBLIC BANK,3-0000020001,,,,
264,HERITAGE COMMUNITY BANK,3-0000020078,Heritage Community Bank,581.0,257.0,100.0
265,BRUNSWICK BANK & BANK,3-0000020220,,,,
266,OAK BANK,3-0000020226,Oak Bank,859.0,259.0,100.0
267,"MARINE BANK, SPRINGFIELD",3-0000020250,,,,
268,SOUTHERN HERITAGE BANK,3-0000020698,Southern Heritage Bank,1044.0,2116.0,100.0
269,BANCO SANTANDER PUERTO RICO,3-0000020828,,,,
270,PROGRESSIVE BANK,3-0000022139,Progressive Bank,930.0,263.0,100.0
271,HILLCREST BANK,3-0000022173,Hillcrest Bank,587.0,264.0,100.0
272,BB&T OF VA,3-0000022584,,,,
273,ALPINE BANK,3-0000023091,Alpine Bank,67.0,266.0,100.0
274,FLORENCE SAVINGS BANK,3-0000023293,Florence Savings Bank,472.0,267.0,100.0
275,SALEM FIVE CENTS SAVINGS BANK,3-0000023296,Salem Five Cents Savings Bank,1010.0,268.0,100.0
276,DEDHAM SAVINGS BANK,3-0000023620,,,,
277,REPUBLIC BANK & TRUST COMPANY,3-0000023627,Republic Bank & Trust Co,961.0,270.0,100.0
278,BELMONT SAVINGS BANK,3-0000023901,Belmont Savings Bank,171.0,271.0,100.0
279,ONEUNITED BANK,3-0000023966,OneUnited Bank,872.0,272.0,100.0
280,NORTHWEST BANK,3-0000024030,Northwest Bank,842.0,274.0,100.0
281,OCEAN BANK,3-0000024156,Ocean Bank,861.0,275.0,100.0
