year,lender_id,lender_name
2004,2-0000245333,AMSOUTH BANK
2004,2-0000279338,FIRST SOUTHERN BANK
2004,2-0000311050,AMERICAN HERITAGE BANK
2004,2-0000311845,ARVEST BANK GROUP
2004,2-0000342410,ORRSTOWN BANK
2004,2-0000374653,FIRST PREMIER BANK
2004,2-0000412135,COLE TAYLOR BANK
2004,2-0000497039,COMMERCIAL BANK
2004,2-0000501105,MANUFACTURERS AND TRADERS TR
2004,2-0000506922,SANDY SPRING BANK
2004,2-0000539032,BANK INDEPENDENT
2004,2-0000543637,EQUITABLE BANK
2004,2-0000576710,SKY BANK
2004,2-0000590248,TOWN AND COUNTRY BANK
2004,2-0000612618,Provident Bank
2004,2-0000637451,PLAINSCAPITAL BANK
2004,2-0000645317,Adirondack Trust
2004,2-0000645625,"WESBANCO BANK, INC."
2004,2-0000675332,"SUNTRUST BANKS, INC"
2004,2-0000695349,TRI COUNTY BANK
2004,2-0000697633,COMPASS BANK
2004,2-0000722816,SOLVAY BANK
2004,2-0000723112,FIFTH THIRD BANK
2004,2-0000790721,SOUTHSIDE BANK
2004,2-0000817833,SOUTH TRUST BANK
2004,2-0000853112,HEARTLAND BANK
2004,2-0000858528,THE BANK OF MARION
2004,2-0000866859,CANADIAN STATE BANK
2004,2-0000876634,CAPITAL CITY BANK
2004,2-0000909055,PEOPLES BANK AND TRUST CO.
2004,2-0000910118,TIOGA STATE BANK
2004,2-0000913940,FIFTH THIRD BANK
2004,2-0000928618,AMERISERV FINANCIAL BANK
2004,2-0000940311,BANCO POPULAR DE PUERTO RICO
2004,2-0000947628,PEOPLES COMMUNITY BANK
2004,2-0000983448,M&I MARSHALL & ILSLEY BANK
2004,2-0000991340,1ST SOURCE BANK
2004,2-0001007846,FIRST MIDWEST BANK
2004,2-0001216291,RESOURCE BANK
2004,2-0001819366,STERLING BANK
2004,2-0002142155,QUAD CITY BANK AND TRUST
2004,2-0002303086,VALLEY BANK
2004,2-0002333298,FIRST BANK & TRUST
2004,2-0002514547,SOUTHERN COMMUNITY BK & TRUST
2004,2-0002544991,COMMUNITY SAVINGS  BANK
2004,2-0002718345,MONARCH BANK
2004,2-0002736442,BANK OF WILLIAMSBURG
2004,2-0002787770,BANK OF THE JAMES
2004,2-0002963547,LANDMARK COMMUNITY BANK
2004,2-0003120646,PATRIOT BANK
2004,3-0000000053,PEOPLES COMMUNITY BANK
2004,3-0000000110,BANK OF THE OZARKS
2004,3-0000000160,EXCHANGE BANK
2004,3-0000000307,CLINTON BANK AND TRUST COMPANY
2004,3-0000000622,AMALGAMATED BANK
2004,3-0000000734,KENTUCKY BANK
2004,3-0000001281,WASHINGTON TRUST BANK
2004,3-0000001296,FARMERS BANK
2004,3-0000001390,LAKE AREA BANK
2004,3-0000001768,THE MECHANICS BANK
2004,3-0000001874,BROTHERHOOD BANK & TRUST
2004,3-0000002711,"TRADITIONAL BANK, INC."
2004,3-0000003076,INDEPENDENT BANK
2004,3-0000003514,BANK OF THE WEST
2004,3-0000005602,UNION STATE BANK
2004,3-0000005685,SOUTHEASTERN BANK
2004,3-0000005702,COMMUNITY BANK & TRUST
2004,3-0000005866,NEW WINDSOR STATE BANK
2004,3-0000005903,BANKPLUS
2004,3-0000006058,ALLEGHENY VALLEY BANK OF PGH
2004,3-0000006078,FIRST MIDWEST BANK
2004,3-0000006137,BANK OF BOTETOURT
2004,3-0000006191,LAYTON STATE BANK
2004,3-0000007468,FIRST COMMONWEALTH BANK
2004,3-0000007551,FULTON BANK
2004,3-0000008327,GREAT WESTERN BANK
2004,3-0000008468,EXCHANGE BANK
2004,3-0000008545,FIRST STATE BANK OF RUSH CITY
2004,3-0000008663,FIRST BANK
2004,3-0000008714,PEOPLES STATE BANK
2004,3-0000008997,THE PALMETTO BANK
2004,3-0000009079,THE HARVARD STATE BANK
2004,3-0000009309,UNITED SOUTHERN BANK
2004,3-0000009576,WASHINGTON MUTUAL BANK
2004,3-0000009676,EAGLE BANK
2004,3-0000009712,ROCKLAND TRUST COMPANY
2004,3-0000009737,MIDWEST BANK
2004,3-0000009846,BRANCH BANKING AND TRUST CO
2004,3-0000009889,MID PENN BANK
2004,3-0000009963,FARMERS AND MERCHANTS BANK
2004,3-0000010159,FIRST STATE BANK AND TRUST
2004,3-0000010203,WESTERN BANK
2004,3-0000010212,COMMERCE BANK
2004,3-0000010346,STATE BANK
2004,3-0000010650,HOME STATE BANK
2004,3-0000010672,"THE EXCHANGE BANK, SKIATOOK"
2004,3-0000010734,PIONEER BANK
2004,3-0000011124,S&T BANK
2004,3-0000011448,CENTURY BANK
2004,3-0000011694,AUSTIN BANK OF CHICAGO
2004,3-0000011739,BANKORION
2004,3-0000011813,BANCORPSOUTH BANK
2004,3-0000011886,UNION STATE BANK
2004,3-0000012010,THE PROVIDENT BANK
2004,3-0000012181,MONROE BANK & TRUST
2004,3-0000012383,CARROLLTON BANK
2004,3-0000012433,CARROLLTON BANK
2004,3-0000012518,COMMERCIAL BANK
2004,3-0000012781,HOMETOWN BANK
2004,3-0000013054,PARK BANK
2004,3-0000013102,LAKE CITY BANK
2004,3-0000013177,UNITED BANK & TRUST
2004,3-0000014207,LINCOLN SAVINGS BANK
2004,3-0000014327,HORIZON BANK
2004,3-0000014704,GUARANTY BANK & TRUST COMPANY
2004,3-0000014790,UNION STATE BANK
2004,3-0000014894,FARMERS BANK
2004,3-0000014974,FIRST STATE BANK AND TRUST
2004,3-0000015289,GREAT WESTERN BANK
2004,3-0000015465,UNITED SOUTHERN BANK
2004,3-0000015521,STATE BANK
2004,3-0000015608,UNITED BANK AND TRUST COMPANY
2004,3-0000015640,SHOREBANK
2004,3-0000015685,CARTER COUNTY BANK
2004,3-0000015970,ULSTER SAVINGS BANK
2004,3-0000016022,NEW YORK COMMUNITY BANK
2004,3-0000016026,RIDGEWOOD SAVINGS BANK
2004,3-0000016160,WAUKESHA STATE BANK
2004,3-0000016470,JEFFERSON STATE BANK
2004,3-0000016539,METAIRIE BANK & TRUST
2004,3-0000016606,STANDARD BANK AND TRUST CO
2004,3-0000016636,TORRINGTON SAVINGS BANK
2004,3-0000016652,SOUTHWEST BANK
2004,3-0000016659,NORTHEAST BANK
2004,3-0000016666,ITASCA BANK & TRUST CO
2004,3-0000016799,LEXINGTON STATE BANK
2004,3-0000016803,CAPITAL CITY BANK
2004,3-0000016820,THE BANK OF GLEN BURNIE
2004,3-0000016835,PROSPERITY BANK
2004,3-0000016858,FIRST AMERICAN BANK AND TRUST
2004,3-0000016902,HOME STATE BANK
2004,3-0000016940,DELAWARE COUNTY BANK & TRUST
2004,3-0000016954,CITIZENS BANK OF RHODE ISLAND
2004,3-0000017108,COMMUNITY BANK & TRUST
2004,3-0000017266,UMPQUA BANK
2004,3-0000017308,CENTRAL PACIFIC BANK
2004,3-0000017470,FIRST BANK OF HIGHLAND PARK
2004,3-0000017476,MECHANICS SAVINGS BANK
2004,3-0000017484,COMMERCE BANK & TRUST COMPANY
2004,3-0000017598,SOY CAPITAL BANK & TRUST CO.
2004,3-0000017658,NORWAY SAVINGS BANK
2004,3-0000017736,TERRE HAUTE SAVINGS BANK
2004,3-0000017743,SACO & BIDDEFORD SAVINGS INST
2004,3-0000017748,GORHAM SAVINGS BANK
2004,3-0000017749,BATH SAVINGS INSTITUTION
2004,3-0000017751,ANDROSCOGGIN SAVINGS BANK
2004,3-0000017870,CAMBRIDGE SAVINGS BANK
2004,3-0000017874,SKAGIT STATE BANK
2004,3-0000018035,CITY BANK
2004,3-0000018152,ADVANTAGE BANK
2004,3-0000018190,UNION SAVINGS BANK
2004,3-0000018199,NEWTOWN SAVINGS BANK
2004,3-0000018203,ROCKVILLE BANK
2004,3-0000018213,FAIRFIELD COUNTY BANK CORP.
2004,3-0000018238,CHELSEA GROTON SAVING BANK
2004,3-0000018258,THOMASTON SAVINGS BANK
2004,3-0000018297,SOUTHSIDE BANK
2004,3-0000018408,BANGOR SAVINGS BANK
2004,3-0000018509,WEST SUBURBAN BANK
2004,3-0000018519,FIRST SERVICE BANK
2004,3-0000018714,FIRSTBANK OF COLORADO
2004,3-0000018812,SOUTHWEST BANK
2004,3-0000018983,RIVER CITY BANK
2004,3-0000019181,SOUTHWESTERN BANK
2004,3-0000019195,CAPITAL BANK
2004,3-0000019222,FREMONT BANK
2004,3-0000019304,FIRST CITIZENS BANK
2004,3-0000019401,CAPITAL BANK
2004,3-0000019435,KEYSTONE BANK
2004,3-0000019440,FIRST FINANCIAL BANK
2004,3-0000019540,PIONEER BANK
2004,3-0000019573,LAKESIDE BANK
2004,3-0000019629,INTERNATIONAL BANK OF COMMERCE
2004,3-0000019919,BANCO BILBAO VIZCAYA ARGENTARI
2004,3-0000019953,LAKELAND BANK
2004,3-0000019964,FIRST CITIZENS BANK
2004,3-0000020001,REPUBLIC BANK
2004,3-0000020078,HERITAGE COMMUNITY BANK
2004,3-0000020119,UNION STATE BANK
2004,3-0000020220,BRUNSWICK BANK & BANK
2004,3-0000020226,OAK BANK
2004,3-0000020250,"MARINE BANK, SPRINGFIELD"
2004,3-0000020698,SOUTHERN HERITAGE BANK
2004,3-0000020828,BANCO SANTANDER PUERTO RICO
2004,3-0000021194,STERLING BANK
2004,3-0000021292,PEOPLES COMMUNITY BANK
2004,3-0000021726,STERLING BANK
2004,3-0000022139,PROGRESSIVE BANK
2004,3-0000022173,HILLCREST BANK
2004,3-0000022268,COMMERCE BANK
2004,3-0000022584,BB&T OF VA
2004,3-0000022971,STATE BANK
2004,3-0000022977,HORIZON BANK
2004,3-0000023091,ALPINE BANK
2004,3-0000023293,FLORENCE SAVINGS BANK
2004,3-0000023296,SALEM FIVE CENTS SAVINGS BANK
2004,3-0000023620,DEDHAM SAVINGS BANK
2004,3-0000023627,REPUBLIC BANK & TRUST COMPANY
2004,3-0000023772,COMMERCE BANK
2004,3-0000023901,BELMONT SAVINGS BANK
2004,3-0000023966,ONEUNITED BANK
2004,3-0000024030,NORTHWEST BANK
2004,3-0000024156,OCEAN BANK
2004,3-0000024963,PROSPERITY BANK
2004,3-0000025103,CITY BANK
2004,3-0000025653,FREMONT INVESTMENT & LOAN
2004,3-0000026006,CORNERSTONE BANK
2004,3-0000026218,PARK BANK
2004,3-0000026333,GENESEE REGIONAL BANK
2004,3-0000026359,FIRST COMMERCIAL BANK
2004,3-0000026390,ATLANTIC STEWARDSHIP BANK
2004,3-0000026460,FIRSTBANK
2004,3-0000026484,NORTH SHORE BANK
2004,3-0000026511,MELROSE COOPERATIVE BANK
2004,3-0000026523,HOMETOWN BANK
2004,3-0000026601,BEVERLY COOPERATIVE BANK
2004,3-0000026620,READING CO-OPERATIVE BANK
2004,3-0000026647,FIRSTRUST BANK
2004,3-0000026665,FIRST REPUBLIC BANK
2004,3-0000026703,RIVER CITY BANK
2004,3-0000026849,CAROLINA FIRST BANK
2004,3-0000026951,RIVERSIDE BANK
2004,3-0000026962,WILSON BANK & TRUST
2004,3-0000027181,RIVERSIDE BANK
2004,3-0000027332,REPUBLIC FIRST BANK
2004,3-0000027334,PEOPLE'S BANK
2004,3-0000027397,OMNI BANK
2004,3-0000027409,COMMERCIAL BANK
2004,3-0000027476,BANCFIRST
2004,3-0000027507,COMMUNITY BANK & TRUST
2004,3-0000027515,MERCANTILE BANK
2004,3-0000027711,ALTOONA FIRST SAVINGS BANK
2004,3-0000028114,HOME SAVINGS AND LOAN
2004,3-0000028178,NORTHWEST SAVINGS BANK
2004,3-0000028222,HADDON SAVINGS BANK
2004,3-0000028348,BELMONT SAVINGS BANK
2004,3-0000028428,CITIZENS SAVINGS BANK
2004,3-0000028454,ANCHOR BANK
2004,3-0000028489,BANNER BANK
2004,3-0000028701,AMBLER SAVINGS BANK
2004,3-0000028710,NORTHFIELD SAVINGS BANK
2004,3-0000028729,GLEN ROCK SAVINGS BANK
2004,3-0000028793,SHARON SAVINGS BANK
2004,3-0000028836,UNITED SAVINGS BANK
2004,3-0000028841,COMMUNITY SAVINGS BANK
2004,3-0000028892,INVESTORS SAVINGS BANK
2004,3-0000029011,MECHANICS SAVINGS BANK
2004,3-0000029121,UNION SAVINGS BANK
2004,3-0000029332,FIRST SOUTHERN BANK
2004,3-0000029546,GREAT SOUTHERN BANK
2004,3-0000029657,"GREAT MIDWEST BANK, SSB"
2004,3-0000029800,LISLE SAVINGS BANK
2004,3-0000029875,NVE BANK
2004,3-0000029941,BOGOTA SAVINGS BANK
