,respondentname,hmda_id,advertiser_name,advertiser_id,match_index,score
0,"AMCORE MORTGAGE, INC.",100-1-00-1196704,,,,
1,SOUTHEASTERN MORTGAGE OF TN,100-2-00-2000006,,,,
2,FIRST UNION NATIONAL BANK,10000-0000000001,,,,
3,"BANK ONE, NA",10000-0000000008,,,,
4,"FIRSTAR BANK, N.A.",10000-0000000024,,,,
5,"PREMIER NATIONAL BANCORP, INC.",10000-0000000035,First Premier Bank,457.0,100.0,100.0
6,"BANK OF LANCASTER COUNTY, N.A.",10000-0000000042,,,,
7,THE FIRST NATIONAL BANK OF MCC,10000-0000000046,,,,
8,TERRE HAUTE FIRST NATIONAL BAN,10000-0000000047,,,,
9,FIRST SOUTHWESTERN,10000-0000000056,Southwest Bank,1048.0,152.0,82.60912371957905
10,FIRST NAT'L BANK GERMANTOWN,10000-0000000086,,,,
11,FIRST NATIONAL BANK OF HUDSON,10000-0000000095,,,,
12,"NATIONAL CITY BANK, KENTUCKY",10000-0000000109,,,,
13,IST NATIONAL BANK OF W.CHESTER,10000-0000000148,,,,
14,FIRST NATIONAL BANK,10000-0000000164,,,,
15,"COMMERCE BANK, N.A.",10000-0000000176,Bank Of Commerce,143.0,94.0,100.0
16,"NATIONAL CITY BANK, MICH/ILL",10000-0000000191,,,,
17,FLEET NATIONAL BANK,10000-0000000200,,,,
18,FIRST NATIONAL BANK OF OMAHA,10000-0000000209,,,,
19,FIRST NATIONAL BANK OF PENNSYL,10000-0000000249,,,,
20,ADAMS COUNTY NATIONAL BANK,10000-0000000311,,,,
21,FIRST NATIONAL BANK & TRUST CO,10000-0000000324,National Bank & Trust Co,809.0,20.0,100.0
22,"FNB BANK, N.A.",10000-0000000325,FNB Corp,404.0,7.0,100.0
23,FIRST TENNESSEE BANK N.A.,10000-0000000336,,,,
24,CAYUGA LAKE NATIONAL BANK,10000-0000000412,,,,
25,"UNITED BANK, N.A.",10000-0000000443,,,,
26,FIRST NATL BANK OF SUFFIELD,10000-0000000497,,,,
27,GRUNDY COUNTY NATIONAL BANK,10000-0000000531,,,,
28,FIRST NATIONAL BANK OF BERWICK,10000-0000000568,,,,
29,THE HONESDALE NATIONAL BANK,10000-0000000644,Honesdale National Bank,605.0,9.0,100.0
30,DOWNINGTOWN NATIONAL BANK,10000-0000000661,,,,
31,NATIONAL GRAND BANK,10000-0000000676,,,,
32,1ST NATIONAL BK OF LITCHFIELD,10000-0000000709,,,,
33,NATIONAL CITY BANK,10000-0000000786,City National Bank,272.0,31.0,100.0
34,WAYNE COUNTY NATIONAL BANK,10000-0000000828,,,,
35,THE CITIZENS NATIONAL BANK,10000-0000000863,Citizens First National Bank,267.0,22.0,100.0
36,THE MILFORD NATIONAL BANK,10000-0000000866,,,,
37,"NATIONAL CITY BANK, INDIANA",10000-0000000869,,,,
38,CHAMPAIGN NATIONAL BANK AND TR,10000-0000000916,,,,
39,"STATE FINANCIAL BANK, NA",10000-0000000945,GTE Financial,506.0,424.0,81.13334890097494
40,BEVERLY NATIONAL BANK,10000-0000000969,,,,
41,PUTNAM COUNTY NATIONAL BANK,10000-0000000976,,,,
42,STISSING NATIONAL BANK OF PINE,10000-0000000981,,,,
43,FIRST & OCEAN NATIONAL BANK,10000-0000001011,Ocean Bank,861.0,275.0,100.0
44,THE LYONS NATIONAL BANK,10000-0000001027,Lyons National Bank,707.0,11.0,100.0
45,FIRST NATIONAL BANK OF GROTON,10000-0000001083,,,,
46,"ALLIANCE BANK, N.A.",10000-0000001090,Alliance Bank NA,61.0,12.0,100.0
47,CENTRAL NATIONAL BANK,10000-0000001122,Central National Bank,244.0,13.0,100.0
48,ROCKPORT NATIONAL BANK,10000-0000001194,,,,
49,VISTA BANK NA,10000-0000001239,,,,
50,BALLSTON SPA NATIONAL BANK,10000-0000001253,Ballston Spa National Bank,130.0,14.0,100.0
51,THE NATIONAL BANK OF VERNON,10000-0000001264,,,,
52,FARMERS & MECHANICS NATL BANK,10000-0000001267,,,,
53,PNC BANK NA,10000-0000001316,,,,
54,"NBT BANK, NA",10000-0000001354,NBT Bancorp Inc,800.0,15.0,100.0
55,NATIONAL BANK OF COXSACKIE,10000-0000001398,,,,
56,"CITIBANK, NA",10000-0000001461,,,,
57,WILLIAMSPORT NATIONAL BANK,10000-0000001464,,,,
58,FIRST SOUTHERN NATIONAL BANK,10000-0000001493,First Southern National Bank,465.0,19.0,100.0
59,UNION NATIONAL COMMUNITY BANK,10000-0000001516,,,,
60,WACHOVIA BANK,10000-0000001559,,,,
61,NATIONAL BK OF FREDERICKSBURG,10000-0000001582,,,,
62,"WELLS FARGO BANK, NA",10000-0000001741,Wells Fargo & Co,1202.0,0.0,100.0
63,FIRST NATIONAL BANK SANTA FE,10000-0000001750,,,,
64,BOONE COUNTY NATIONAL BANK,10000-0000001770,,,,
65,FIRST NATIONAL BANK OF SHELBY,10000-0000001929,,,,
66,"WELLS FARGO BANK MINNESOTA, NA",10000-0000002006,,,,
67,UNION COUNTY NATIONAL BANK,10000-0000002007,,,,
68,COMMUNITY FIRST NATIONAL BANK,10000-0000002030,First National Community Bancorp,452.0,41.0,100.0
69,NATIONAL PENN BANK,10000-0000002137,,,,
70,WILBER NATIONAL BANK,10000-0000002151,,,,
71,FIRST MERCHANTS BANK N A,10000-0000002234,,,,
72,"COMMUNITY BANKS, N.A.",10000-0000002252,,,,
73,"WELLS FARGO BANK IOWA, NA",10000-0000002307,Wells Fargo & Co,1202.0,0.0,80.5559119590432
74,UNION NATIONAL BANK AND TRUST,10000-0000002333,,,,
75,THE CENTREVILLE NATIONAL BANK,10000-0000002341,,,,
76,LEBANON CITIZENS NATIONAL BANK,10000-0000002360,,,,
77,THE QUAKERTOWN NATIONAL BANK,10000-0000002366,,,,
78,WELLS FARGO BANK NORTH DAKOTA,10000-0000002377,,,,
79,FIRST NATIONAL BANK OF WEATHER,10000-0000002477,,,,
80,SECOND NATIONAL BANK,10000-0000002479,,,,
81,NATIONAL BANK OF RISING SUN,10000-0000002481,,,,
82,EPHRATA NATIONAL BANK,10000-0000002515,,,,
83,"FIRST MINNESOTA BANK, N.A.",10000-0000002571,,,,
84,"FIRST SECURITY BANK, NA",10000-0000002597,,,,
85,"HORIZON BANK, N.A.",10000-0000002747,First Horizon National Corp,445.0,8.0,100.0
86,"INTRUST BANK, N.A.",10000-0000002782,Intrust Bank Na,638.0,23.0,100.0
87,THE RIPLEY NATIONAL BANK,10000-0000002837,,,,
88,"WELLS FARGO BANK NEBRASKA, NA",10000-0000002978,,,,
89,MIDAMERICAN BANK AND TRUST,10000-0000003033,,,,
90,"BANK ONE, WEST VIRGINIA, NA",10000-0000003106,,,,
91,THE NATIONAL BANK OF MALVERN,10000-0000003147,,,,
92,CORNERBANK NA,10000-0000003218,,,,
93,"WELLS FARGO BANK WEST, NA",10000-0000003269,,,,
94,FIRST NATIONAL BANK OF BAIRD,10000-0000003286,,,,
95,"TEAMBANK, N.A.",10000-0000003350,,,,
96,FIRST NATIONAL BANK OF ANTHONY,10000-0000003385,,,,
97,THE FIRST NATIONAL BANK IN SIO,10000-0000003393,,,,
98,FIRST NATIONAL BANK OF BRYAN,10000-0000003446,,,,
99,FARMERS NATIONAL BANK,10000-0000003654,Farmers National Bank,417.0,25.0,100.0
100,THE ATLANTA NATIONAL BANK,10000-0000003711,,,,
101,FIRST NATIONAL BANK OF OLATHE,10000-0000003720,,,,
102,FIRST NATIONAL BANK-FOX VALLEY,10000-0000003724,,,,
103,CANANDAIGUA NATIONAL BANK,10000-0000003817,Canandaigua National Corp,225.0,27.0,100.0
104,FIRST NAT'L BANK OF MT PULASKI,10000-0000003839,,,,
105,AMBOY NATIONAL BANK,10000-0000003878,,,,
106,FIRST CHARTER NATIONAL BANK,10000-0000003903,,,,
107,NATIONAL BANK AND TRUST,10000-0000003906,,,,
108,FIRST NATIONAL BANK OF BAR HAR,10000-0000003941,,,,
109,BAKER BOYER BANK,10000-0000003956,,,,
110,THE LENOX NATIONAL BANK,10000-0000004013,,,,
111,FNB OF MIFFLINLINTOWN,10000-0000004039,,,,
112,FIRST NATIONAL BANK OF BASTROP,10000-0000004093,,,,
113,NATIONAL CAPITAL BANK OF WASH,10000-0000004107,,,,
114,FIRST NATIONAL BANK OF ABILENE,10000-0000004166,,,,
115,SUFFOLK COUNTY NATIONAL BANK,10000-0000004230,,,,
116,FIRST NATIONAL BANK OF ATHENS,10000-0000004278,,,,
117,FIRST NATIONAL BANK OF VA,10000-0000004289,,,,
118,ZIONS FIRST NATIONAL BANK,10000-0000004341,Zions Bancorp,1224.0,28.0,100.0
119,NBC BANK NA,10000-0000004490,,,,
120,THE FIRST NATIONAL BANK OF GOL,10000-0000004565,,,,
121,OLD SECOND NATIONAL BANK,10000-0000004596,,,,
122,"HARRIS BANK BATAVIA, N.A.",10000-0000004646,,,,
123,FIRST NATIONAL BANK OF CROCKET,10000-0000004684,,,,
124,"SUNFLOWER BANK, N.A.",10000-0000004742,,,,
125,THE FIRST NATIONAL BANK OF IPS,10000-0000004774,,,,
126,"POINTBANK, NA",10000-0000004777,,,,
127,MIDLAND NATIONAL BANK,10000-0000004860,Midland National Bank,777.0,29.0,100.0
128,FIRST NATIONAL BANK OF NEWPORT,10000-0000004917,Bank of Newport,154.0,234.0,100.0
129,FIRST NATIONAL BANK OF DECATUR,10000-0000004920,,,,
130,UMB NATIONAL BANK OF AMERICA,10000-0000004945,,,,
131,FIRST NATIONAL BANK-MANITOWOC,10000-0000004975,,,,
132,THE LAREDO NATIONAL BANK,10000-0000005001,,,,
133,RIGGS BANK NA,10000-0000005046,,,,
134,NAZARETH NATIONAL BANK,10000-0000005077,,,,
135,FROST NATIONAL BANK,10000-0000005179,,,,
136,WAGGONER NATIONAL BANK,10000-0000005203,,,,
137,RIDDELL NATIONAL BANK,10000-0000005267,,,,
138,FIRST NATIONAL BANK OF OGDEN,10000-0000005304,,,,
139,STILLWATER NATIONAL BANK,10000-0000005347,,,,
140,FIRST NATIONAL BANK OF SONORA,10000-0000005466,,,,
141,"PEOPLES BANK, NA",10000-0000005552,Peoples Bank,907.0,32.0,100.0
142,SANDY SPRING NATIONAL BANK,10000-0000005561,Sandy Spring Bancorp Inc,1015.0,1026.0,100.0
143,"AUSTIN BANK, TEXAS, N.A.",10000-0000005581,,,,
144,FIRST NATL BANK OF CHILLICOTHE,10000-0000005584,,,,
145,THE MARS NATIONAL BANK,10000-0000005599,Mars National Bank,738.0,33.0,100.0
146,HALIFAX NATIONAL BANK,10000-0000005601,,,,
147,"GUARANTY BANK, N.A.",10000-0000005625,,,,
148,CENTURY BANK N.A.,10000-0000005636,Century Bank,248.0,185.0,100.0
149,FIRST NATIONAL BANK WINNSBORO,10000-0000005674,,,,
150,GILMER NATIONAL BANK,10000-0000005741,,,,
151,FIRST NATIONAL BANK TEXAS,10000-0000005750,,,,
152,CITY NATIONAL BANK & TRUST CO.,10000-0000005753,,,,
153,"RESOURCE BANK, N.A.",10000-0000005815,Resource Bank,963.0,132.0,100.0
154,HOME NATIONAL BANK,10000-0000005842,Home Bank,590.0,355.0,100.0
155,FNB OF CENTRAL TEXAS,10000-0000005850,,,,
156,RAMSEY NATIONAL BANK & TRUST C,10000-0000005886,,,,
157,FIRST NATIONAL BANK OF KEMP,10000-0000005932,,,,
158,EMPRISE BANK NA,10000-0000006120,,,,
159,"WELLS FARGO BANK NEW MEXICO,NA",10000-0000006187,,,,
160,FIRST AMERICAN NATNL BANK,10000-0000006220,,,,
161,YORKVILLE NATIONAL BANK,10000-0000006239,,,,
162,"MELLON BANK, N.A.",10000-0000006301,,,,
163,FIRST NATIONAL BANK SAUK CENTR,10000-0000006417,,,,
164,FNB OF SLIPPERY ROCK,10000-0000006483,,,,
165,THE JIM THORPE NATIONAL BANK,10000-0000006534,,,,
166,HOBLITZELL NATIONAL BANK,10000-0000006615,,,,
167,SIMMONS FIRST NATIONAL BANK,10000-0000006680,Simmons First National Corp,1028.0,36.0,100.0
168,FIRST NAT'L BANK OF ELMER,10000-0000006707,,,,
169,CITIZENS NATIONAL BANK & TRUST,10000-0000006752,,,,
170,FIRST NATIONAL BANK OF COWETA,10000-0000006879,,,,
171,FIRST NATIONAL BANK OF SUMNER,10000-0000006907,,,,
172,FIRST NATIONAL BANK OF RAYMOND,10000-0000006910,,,,
173,"FIRST COMMERCIAL BANK, N.A.",10000-0000006963,Commercial Bank,289.0,102.0,100.0
174,MINERS NATIONAL BANK OF EVELET,10000-0000006991,,,,
175,THE HERRING NATIONAL BANK,10000-0000007010,,,,
176,"COMMUNITY TRUST BANK, N. A.",10000-0000007030,Community Bank & Trust,292.0,145.0,97.05277820683914
177,CITIZENS NAT'L BANK,10000-0000007051,,,,
178,FIRST NAT BANK OF NORTH EAST,10000-0000007064,,,,
179,FIRST NATIONAL BANK OF RIVER F,10000-0000007087,,,,
180,1ST. NAT'L BANK OF MARYSVILLE,10000-0000007353,,,,
181,FNB OF THE ROCKIES,10000-0000007435,,,,
182,FIRST NATIONAL BANK OF ARVADA,10000-0000007501,,,,
183,FIRST NATIONAL BANK OF BELLS/S,10000-0000007524,,,,
184,NEW RICHMOND NATIONAL BANK,10000-0000007542,,,,
185,FIRST NATIONAL BANK OF NWGA,10000-0000007549,,,,
186,FIRST NATIONAL BANK - COLORADO,10000-0000007637,,,,
187,FIRST-KNOX NATIONAL BANK,10000-0000007638,,,,
188,FIRST NATIONAL BK OF LAYTON,10000-0000007685,,,,
189,GLENS FALLS NATIONAL BANK,10000-0000007699,,,,
190,THE HUTINGTON NATIONAL BANK,10000-0000007745,,,,
191,OZONA NATIONAL BANK,10000-0000007748,,,,
192,AMERICAN NATIONAL BANK & TRUST,10000-0000007788,American Trust Bank,83.0,5052.0,96.52555741542906
193,BERTHOUD NATIONAL BANK,10000-0000007995,,,,
194,FIRST NAT'L OF MCCONNELLSBURG,10000-0000008083,,,,
195,FIRST NATIONAL BANK OF CHASKA,10000-0000008378,,,,
196,BLUE BALL NATIONAL BANK,10000-0000008421,,,,
197,FIRST NATL. BANK OF MILLSTADT,10000-0000008425,,,,
198,BEREA NATIONAL BANK,10000-0000008435,,,,
199,"PROGRESSIVE BANK, NA",10000-0000008604,Progressive Bank,930.0,263.0,100.0
200,FALLS CITY NATIONAL BANK,10000-0000008606,,,,
201,FIRST NATIONAL BANK -HARTFORD,10000-0000008671,,,,
202,FIRST NATL BANK OF MANHATTAN,10000-0000008713,,,,
203,ONTARIO NATIONAL BANK,10000-0000008717,,,,
204,FIRST NATIONAL BANK OF ELK RIV,10000-0000008757,,,,
205,1ST NATIONAL BANK OF SPRINGDAL,10000-0000008763,,,,
206,FIRSTBANK SOUTHWEST,10000-0000008769,,,,
207,FIRST NATIONAL BANK OF BYERS,10000-0000008787,,,,
208,"ARMED FORCES BANK, NA",10000-0000008796,,,,
209,GRANGE NATIONAL BANK,10000-0000008845,,,,
210,OLD NATIONAL BANK,10000-0000008846,Old National Bancorp,865.0,40.0,100.0
211,LYNNVILLE NATIONAL BANK,10000-0000008868,,,,
212,MOODY NATIONAL BANK,10000-0000008899,,,,
213,LUZERNE NATIONAL BANK,10000-0000008921,,,,
214,THE 1ST NATL BANK OF PALMERTON,10000-0000008930,,,,
215,FIRST NATIONAL BANK OF ALACHUA,10000-0000008980,,,,
216,NATIONAL BANK OF NORTH EAST,10000-0000009149,,,,
217,PARK NATIONAL BANK,10000-0000009179,Park Bank,898.0,193.0,100.0
218,FIRST NATIONAL BANK OF ALTAVIS,10000-0000009295,,,,
219,FIRST NATIONAL BANK OF WYOMING,10000-0000009428,,,,
220,KINGSTON NATIONAL BANK,10000-0000009536,,,,
221,HARLEYSVILLE NATIONAL BANK,10000-0000009541,,,,
222,BROADWAY NATIONAL BANK,10000-0000009651,,,,
223,THE NEW TRIPOLI NATIONAL BANK,10000-0000009656,,,,
224,THE BRIDGEHAMPTON NATIONAL BAN,10000-0000009669,,,,
225,BRADFORD NATIONAL BANK,10000-0000009734,,,,
226,HERGET NATIONAL BANK,10000-0000009788,,,,
227,THE FIRST NAT'L BK OF MERTZON,10000-0000009810,,,,
228,SOMERVILLE NATIONAL BANK,10000-0000009859,,,,
229,"PENNSTAR BANK, NA",10000-0000009886,,,,
230,FIRST MID-ILLINOIS BANK,10000-0000010045,,,,
231,FIRST NATIONAL BANK OF ASHFORD,10000-0000010102,,,,
232,FIRST NATIONAL BANK OF BALDWIN,10000-0000010106,,,,
233,"FIRST HOPE BANK, NA",10000-0000010118,,,,
234,FIRST NATL BANK OF WATERLOO,10000-0000010180,,,,
235,1ST NATIONAL BANK OF HERMINIE,10000-0000010188,,,,
236,YUKON NATIONAL BANK,10000-0000010196,,,,
237,BATH NATIONAL BANK,10000-0000010235,,,,
238,MARSHALL NATIONAL BANK & TRUST,10000-0000010253,,,,
239,CUMBERLAND VALLEY NATIONAL BAN,10000-0000010254,,,,
240,"MIDSTATES BANK, NA",10000-0000010354,,,,
241,FIRST VICTORIA NATIONAL BANK,10000-0000010360,,,,
242,TEXAS GULF BANK,10000-0000010420,,,,
243,MINOTOLA NATIONAL BANK,10000-0000010440,,,,
244,"OMEGA BANK, NA",10000-0000010506,,,,
245,TRUSTMARK NATIONAL BANK,10000-0000010523,Trustmark Corp,1120.0,42.0,100.0
246,"WELLS FARGO BANK WYOMING, NA",10000-0000010533,,,,
247,THE CONWAY NATIONAL BANK,10000-0000010536,,,,
248,FIRST NATL BANK OF MED. LODGE,10000-0000010575,,,,
249,CITIZENS NATIONAL BANK OF HOPE,10000-0000010579,,,,
250,ERWIN NATIONAL BANK,10000-0000010583,,,,
251,WELLS FARGO BANK SOUTH DAKOTA,10000-0000010592,,,,
252,NATIONAL BANK OF S CAROLINA,10000-0000010660,Carolina First Corp,236.0,286.0,81.50346748571312
253,FIRST NATIONAL BANK OF SC,10000-0000010680,,,,
254,FIRST NATIONAL BANK OF FREMONT,10000-0000010718,Fremont Bank,488.0,249.0,100.0
255,FIRST NATIONAL BANK OF ABSECON,10000-0000010823,,,,
256,FIRST NATIONAL TOM BEAN,10000-0000011019,,,,
257,COLUMBIA COUNTY FARMERS NAT'L,10000-0000011058,,,,
258,M&I FIRST NATIONAL BANK,10000-0000011060,,,,
259,"BANK ONE, OKLAHOMA, NA",10000-0000011230,,,,
260,FIRST NATIONAL BANK/LONGMONT,10000-0000011253,,,,
261,"HARRIS BANK BARRINGTON, N.A.",10000-0000011283,,,,
262,"HARRIS BANK HINSDALE, N.A.",10000-0000011308,,,,
263,AMERICAN NATIONAL BANK OF CHEY,10000-0000011380,,,,
264,FIRST NATIONAL BANK OF OKLAHOM,10000-0000011397,,,,
265,FIRST NATIONAL BANK OF WACONIA,10000-0000011410,,,,
266,FIRST NATIONAL BANK OF NEW RIC,10000-0000011412,,,,
267,ILLINOIS NATIONAL BANK,10000-0000011443,,,,
268,WILLIAMSTOWN NATIONAL BANK,10000-0000011483,,,,
269,VARTAN NATIONAL BANK,10000-0000011512,,,,
270,"EAGLE VALLEY BANK, N.A.",10000-0000011526,,,,
271,EVANS NATIONAL BANK,10000-0000011583,Evans Bancorp Inc,383.0,43.0,100.0
272,FIRST NAT'L BANK OF STRASBURG,10000-0000011640,,,,
273,ANCHOR BANK FARMINGTON,10000-0000011687,,,,
274,THE LEMONT NATIONAL BANK,10000-0000011715,,,,
275,WOODSTOWN NAT'L BANK & TRUST,10000-0000011734,,,,
276,"BREMER BANK, N.A. (ST CLOUD)",10000-0000011818,,,,
277,FIRST NATIONAL BANK OF FLAGLER,10000-0000011872,,,,
278,MERCEDES NATIONAL BANK,10000-0000011879,,,,
279,FNB OF GRANT PARK,10000-0000011952,,,,
280,CENTRAL NATIONAL BANK OF ENID,10000-0000012044,,,,
281,1ST NATIONAL BANK OF ANCHORAGE,10000-0000012072,,,,
282,INTEGRA BANK,10000-0000012132,,,,
283,MCCLAIN COUNTY NATIONAL BANK,10000-0000012134,,,,
284,"FIRST BETHANY BANK & TRUST, NA",10000-0000012169,,,,
285,THE OLD POINT NATIONAL BANK OF,10000-0000012267,,,,
286,1ST NATIONAL BANK OF ST. LOUIS,10000-0000012333,,,,
287,SOUTHWEST NATIONAL BANK,10000-0000012346,Southwest Bank,1048.0,152.0,100.0
288,U.S. BANK NATL ASSOC MONTANA,10000-0000012407,,,,
289,UNION CENTER NATIONAL BANK,10000-0000012425,Union Center National Bank,1139.0,44.0,100.0
290,THE NATIONAL BANK OF GENEVA,10000-0000012450,,,,
291,THE NEFFS NATIONAL BANK,10000-0000012471,,,,
292,FIRST NATIONAL BANK-GARRETSON,10000-0000012488,,,,
293,SLEEPY HOLLOW NATIONAL BANK,10000-0000012515,,,,
294,"FIRST BANK, NATIONAL ASSOC.",10000-0000012523,,,,
295,YARDVILLE NATIONAL BANK,10000-0000012606,,,,
296,EQUITY BANK NA,10000-0000012617,Equity Bank,380.0,45.0,100.0
297,FIRST NAT'L BK OF BLUE IS,10000-0000012779,,,,
298,"SAVANNAH BANK, N.A.",10000-0000012810,,,,
299,FIRST LIBERTY NATIONAL BANK,10000-0000012850,Liberty National Bank,698.0,66.0,100.0
300,FIRST NAT'L BANK EMPLOYEE OWNE,10000-0000012870,,,,
301,STATE NATIONAL BANK,10000-0000012936,State Bank,1060.0,182.0,100.0
302,CITIZEN NATIONAL BANK,10000-0000012955,Citizens First National Bank,267.0,22.0,91.38176428412906
303,BUFFALO NATIONAL BANK,10000-0000012959,,,,
304,"AMERIFIRST BANK, N.A.",10000-0000012962,,,,
305,FIRST NATIONAL BANK OF GRAYSON,10000-0000012982,,,,
306,THE STATE NATIONAL BANK WEST,10000-0000013022,,,,
307,"BANK OF AMERICA, N.A.",10000-0000013044,First Of America Bank Corp,455.0,4.0,100.0
308,PIONEER NATIONAL BANK,10000-0000013078,Pioneer Bank,919.0,183.0,100.0
309,THE FNB OF MOUNT DORA,10000-0000013102,,,,
310,FIRST FINANCIAL BANK OF CLEBUR,10000-0000013107,,,,
311,WESTERN NATIONAL BANK,10000-0000013116,Western Bank Corp Inc,1209.0,181.0,100.0
312,THE MAHOPAC NATIONAL BANK,10000-0000013121,,,,
313,THE FIRST OF LONG ISLAND,10000-0000013126,First National Bank Of Long Island,450.0,46.0,100.0
314,MIDWAY NATIONAL BANK,10000-0000013131,,,,
315,FIRST NATIONAL BANK OF BANGOR,10000-0000013202,,,,
316,AMERICAN NAT'L BANK & TR,10000-0000013216,,,,
317,STERLING NATIONAL BANK,10000-0000013295,Sterling Bank,1065.0,138.0,100.0
318,"UNION PLANTERS BANK, N.A.",10000-0000013349,,,,
319,U.S. BANK NATIONAL ASSOCIATION,10000-0000013405,,,,
320,FIRST NATIONAL BANK IN TREMONT,10000-0000013579,,,,
321,STATE NATIONAL BANK OF TEXAS,10000-0000013614,,,,
322,FIRST NATIONAL BANK OF HOMESTE,10000-0000013641,Homestreet Inc,602.0,320.0,81.33813204470296
323,AMCORE BANK N.A.,10000-0000013652,,,,
324,"BANK ONE, LOUISIANA, NA",10000-0000013655,,,,
325,"FIRST MIDWEST BANK, N.A.",10000-0000013660,First Midwest Bank,448.0,48.0,100.0
326,"BANK OF OKLAHOMA, N.A.",10000-0000013679,,,,
327,MIDCITY NATIONAL BANK,10000-0000013684,,,,
328,HIBERNIA NATIONAL BANK,10000-0000013688,,,,
329,FIRST NATIONAL BANK OF JOLIET,10000-0000013705,,,,
330,"BANK ONE, INDIANA, NA",10000-0000013759,,,,
331,"BANK OF NEW HAMPSHIRE, N.A.",10000-0000013764,,,,
332,EXTRACO BANKS,10000-0000013778,,,,
333,ALERUS FINANCIAL N.A.,10000-0000013790,,,,
334,"FIRST SECURITY BANK OF NM,NA",10000-0000013814,,,,
335,THE NATIONAL BANK OF FLORIDA,10000-0000013825,,,,
336,MILLBURY NATIONAL BANK,10000-0000013835,,,,
337,MID AMERICA NATIONAL BANK,10000-0000013838,Mid America Bancorp,767.0,361.0,100.0
338,NATIONAL BANK OF SUSSEX COUNTY,10000-0000013855,,,,
339,COMMUNITY NATIONAL BK OF NW PA,10000-0000013871,,,,
340,NATIONAL EXCHANGE BANK & TRUST,10000-0000013879,,,,
341,"BANK ONE, WHEELING-STEUBENVILL",10000-0000013914,,,,
342,FNB IN FLEETWOOD,10000-0000013927,,,,
343,FIRST LOCKHART NATIONAL BANK,10000-0000013934,,,,
344,FIRST NATIONAL BANK OF LAGRANG,10000-0000013941,,,,
345,HERITAGE NATIONAL BANK,10000-0000013973,,,,
346,BRIGHT NATIONAL BANK,10000-0000013977,,,,
347,OHIO VALLEY NATIONAL BANK,10000-0000013983,,,,
348,"WELLS FARGO BANK INDIANA, NA",10000-0000013987,,,,
349,COUNTY NATIONAL BANK,10000-0000013998,County National Bank,312.0,52.0,100.0
350,CASTLE BANK N.A.,10000-0000014008,,,,
351,"STEEL VALLEY BANK, N.A.",10000-0000014011,,,,
352,THE NATIONAL BK OF WALTON CTY,10000-0000014046,,,,
353,BELMONT NATIONAL BANK,10000-0000014050,,,,
354,HILLSDALE COUNTY NATIONAL BANK,10000-0000014062,,,,
355,SOUTH SIDE NATIONAL BANK,10000-0000014128,,,,
356,COMMERCIAL NATIONAL BANK OF PA,10000-0000014133,Commercial Bank,289.0,102.0,80.62898315462556
357,BROOKVILLE NATIONAL BANK,10000-0000014141,,,,
358,FIRST NATIONAL BANK IN HOWELL,10000-0000014144,,,,
359,IONIA COUNTY NATIONAL BANK,10000-0000014187,,,,
360,AMARILLO NATIONAL BANK,10000-0000014206,Amarillo National Bank,70.0,53.0,100.0
361,"WELLS FARGO BANK TEXAS, NA",10000-0000014208,,,,
362,FIRST NATIONAL BANK ROCHELLE,10000-0000014221,,,,
363,THE KNISELY NATIONAL BANK,10000-0000014226,,,,
364,NEWFIELD NATIONAL BANK,10000-0000014240,,,,
365,PONTIAC NATIONAL BANK,10000-0000014260,,,,
366,FIRST NATIONAL BANK IN CARLYLE,10000-0000014268,,,,
367,LORAIN NATIONAL BANK,10000-0000014290,Lorain National Bank,704.0,54.0,100.0
368,FIRST NATL. BANK IN NEW BREMEN,10000-0000014294,,,,
369,THE GRATZ NATIONAL BANK,10000-0000014301,,,,
370,FIRST NAT'L BANK IN STAUNTON,10000-0000014310,,,,
371,OAKLEY NATIONAL BANK OF BUFFAL,10000-0000014311,,,,
372,SECURITY NATIONAL BANK OF ENID,10000-0000014315,,,,
373,"BANK ONE, KENTUCKY, NA",10000-0000014320,,,,
374,CORNERSTONE BANK & TRUST N.A.,10000-0000014347,,,,
375,LASALLE BANK NA,10000-0000014362,,,,
376,"HARRIS BANK WINNETKA, N.A.",10000-0000014365,,,,
377,STILLMAN BANCCORP N.A.,10000-0000014369,,,,
378,"BANK CALUMET, NA",10000-0000014379,,,,
379,NATIONAL REPUBLIC BANK OF CHIC,10000-0000014399,,,,
380,BELVIDERE NATIONAL BANK,10000-0000014402,,,,
381,UPTOWN NATIONAL BANK OF CHICAG,10000-0000014430,,,,
382,UNIVERSITY NATIONAL BANK,10000-0000014467,,,,
383,FIRST SUBURBAN NATIONAL BANK,10000-0000014470,,,,
384,PORTAGE NATIONAL BANK,10000-0000014490,,,,
385,"HARRIS BANK PALATINE, N.A.",10000-0000014494,,,,
386,UNITED NATIONAL BANK & TRUST,10000-0000014501,United Bank & Trust,1145.0,195.0,100.0
387,MARQUETTE NATIONAL BANK,10000-0000014504,,,,
388,FIRST NATIONAL BANK OF ILLINOI,10000-0000014512,,,,
389,LNB NATIONAL BANK,10000-0000014518,,,,
390,MERCANTILE NATIONAL BANK OF IN,10000-0000014529,,,,
391,CROOKSTON NATIONAL BANK,10000-0000014531,,,,
392,FORT SILL NATIONAL BANK,10000-0000014546,,,,
393,FOREST PARK NATIONAL BANK & TR,10000-0000014566,Forest Park National Bank,477.0,55.0,82.92147403396312
