,respondentname,hmda_id,advertiser_name,advertiser_id,match_index,score
2130,GUARANTY BANK OF MAMOU,30000-0000016928,,,,
2131,DELAWARE COUNTY BANK & TRUST,30000-0000016940,Delaware County Bank & Trust Cs,332.0,216.0,93.23796773565194
2132,CITIZENS BANK OF RHODE ISLAND,30000-0000016954,,,,
2133,FIRST SECURITY BANK & TRUST CO,30000-0000017001,,,,
2134,CENTRAL BANK OF KANSAS CITY,30000-0000017009,,,,
2135,HOMEBANK@,30000-0000017094,,,,
2136,DOUGLAS COUNTY BANK,30000-0000017105,,,,
2137,SANFORD INSTITUTION FOR SAVING,30000-0000017115,,,,
2138,ARTISANS' BANK,30000-0000017123,,,,
2139,INTERCITY STATE BANK,30000-0000017128,,,,
2140,FARMERS EXCHANGE BANK,30000-0000017139,,,,
2141,THE WARRINGTON BANK,30000-0000017193,Harrington Bank,568.0,359.0,87.13376057225544
2142,FIRST SECURITY TRUST & SAVINGS,30000-0000017224,,,,
2143,FIRST BANK & TRUST EAST TEXAS,30000-0000017233,,,,
2144,BANK OF DENVER,30000-0000017244,,,,
2145,ESSEX SAVINGS BANK,30000-0000017262,,,,
2146,DAWSON COUNTY BANK,30000-0000017263,,,,
2147,SOUTH UMPQUA BANK,30000-0000017266,,,,
2148,BANKIOWA,30000-0000017282,,,,
2149,CITRUS AND CHEMICAL BANK,30000-0000017283,,,,
2150,CONTINENTAL COMMUNITY BANK,30000-0000017292,,,,
2151,CENTRAL PACIFIC BANK,30000-0000017308,Central Pacific Bank,245.0,219.0,100.0
2152,BANK OF LINCOLNWOOD,30000-0000017309,,,,
2153,HARRIS BANK ARGO,30000-0000017321,,,,
2154,UNION BANK OF BENTON,30000-0000017322,,,,
2155,FIRST STATE COMMUNITY BANK,30000-0000017323,,,,
2156,BANK OF DICKSON,30000-0000017327,,,,
2157,CHURCH POINT BANK & TRUST CO.,30000-0000017340,,,,
2158,DECATUR STATE BANK,30000-0000017346,,,,
2159,MULVANE STATE BANK,30000-0000017369,,,,
2160,M C BANK & TRUST COMPANY,30000-0000017388,,,,
2161,PISCATAQUA SAVINGS BANK,30000-0000017443,,,,
2162,THE HALSTEAD BANK,30000-0000017451,,,,
2163,FIRST BANK OF HIGHLAND PARK,30000-0000017470,First Bank Of Highland Park,429.0,221.0,100.0
2164,MECHANICS SAVINGS BANK,30000-0000017476,Mechanics Savings Bank,746.0,222.0,100.0
2165,COMMERCE BANK & TRUST COMPANY,30000-0000017484,,,,
2166,GILMORE BANK,30000-0000017523,,,,
2167,BANK OF DADE,30000-0000017543,,,,
2168,LEAGUE CITY BANK & TRUST,30000-0000017577,,,,
2169,THE FIRST STATE BANK OF LOUISE,30000-0000017588,,,,
2170,SOY CAPITAL BANK & TRUST CO.,30000-0000017598,,,,
2171,PALOS BANK AND TRUST,30000-0000017599,,,,
2172,BASILE STATE BANK,30000-0000017621,,,,
2173,ONE VALLEY BANK OF HUNTINGTON,30000-0000017625,,,,
2174,EMPIRE BANK,30000-0000017633,,,,
2175,NORWAY SAVINGS BANK,30000-0000017658,Norway Savings Bank,846.0,224.0,100.0
2176,LEGACY BK FKA ST BK OF COLWICH,30000-0000017676,,,,
2177,DURAND STATE BANK,30000-0000017713,,,,
2178,HARRIS BANK NAPERVILLE,30000-0000017728,,,,
2179,TERRE HAUTE SAVINGS BANK,30000-0000017736,Terre Haute Savings Bank,1095.0,225.0,100.0
2180,SACO & BIDDEFORD SAVINGS INST.,30000-0000017743,Saco & Biddeford Savings Institution,1007.0,226.0,87.79510439376382
2181,GORHAM SAVINGS BANAK,30000-0000017748,Gorham Savings Bank,523.0,227.0,80.38901649820464
2182,BATH SAVINGS INSTITUTION,30000-0000017749,Bath Savings Institution,160.0,228.0,100.0
2183,ANDROSCOGGIN BANK,30000-0000017751,Androscoggin Bank,91.0,229.0,100.0
2184,CENTRAL TEXAS BANK,30000-0000017758,,,,
2185,CENTREVILLE SAVINGS BANK,30000-0000017764,,,,
2186,SMITHFIELD STATE BANK,30000-0000017766,,,,
2187,GREAT LAKES BANK,30000-0000017772,,,,
2188,FIRST STATE BANK OF PAINT ROCK,30000-0000017775,,,,
2189,BROOKLINE SAVINGS BANK,30000-0000017798,,,,
2190,HAMEL STATE BANK,30000-0000017805,Home State Bank,595.0,68.0,80.10695050799471
2191,LONGVIEW BANK & TRUST COMPANY,30000-0000017842,,,,
2192,STERLING STATE BANK,30000-0000017863,,,,
2193,MACKTOWN STATE BANK,30000-0000017869,,,,
2194,CAMBRIDGE SAVINGS BANK,30000-0000017870,Cambridge Savings Bank,221.0,231.0,100.0
2195,SKAGIT STATE BANK,30000-0000017874,Skagit State Bank,1029.0,232.0,100.0
2196,BANK OF LOUISIANA - BANKSHARES,30000-0000017878,,,,
2197,"THE PEOPLES BANK, TALLASSEE,AL",30000-0000017892,,,,
2198,ROCHESTER BANK,30000-0000017898,,,,
2199,OSWEGO COMMUNITY BANK,30000-0000017899,,,,
2200,BLUE RIDGE BANK AND TRUST CO,30000-0000017933,,,,
2201,SAVINGS BANK OF MANCHESTER,30000-0000017942,,,,
2202,"SUMMIT BANK, CT",30000-0000017944,,,,
2203,PEABODY STATE BANK,30000-0000017955,,,,
2204,STATE BANK OF SOUTHERN UTAH,30000-0000017964,,,,
2205,FIRST HAWAIIAN BANK,30000-0000017985,,,,
2206,INDUSTRIAL STATE BANK,30000-0000018072,,,,
2207,SLADE'S FERRY BANK,30000-0000018085,,,,
2208,COMMERCE BANK AND TRUST,30000-0000018100,,,,
2209,HARRIS BANK ARLINGTON-MEADOWS,30000-0000018106,,,,
2210,NEVADA STATE BANK,30000-0000018113,,,,
2211,MERCHANTS AND SOUTHERN BANK,30000-0000018116,,,,
2212,PEARLAND STATE BANK,30000-0000018132,,,,
2213,OCONEE STATE BANK,30000-0000018143,,,,
2214,FIRST BANK OF INDIANTOWN,30000-0000018149,,,,
2215,BRIDGE CITY STATE BANK,30000-0000018155,,,,
2216,BANKCHICAGO,30000-0000018168,,,,
2217,BANK OF O'FALLON,30000-0000018171,,,,
2218,UNION SAVINGS BANK,30000-0000018190,Union Savings Bank,1143.0,235.0,100.0
2219,THE GUILFORD SAVINGS BANK,30000-0000018194,,,,
2220,CITIZENS BANK OF CONNECTICUT,30000-0000018197,,,,
2221,NAUGATUCK SAVINGS BANK,30000-0000018198,,,,
2222,NEWTOWN SAVINGS BANK,30000-0000018199,Newtown Savings Bank,832.0,236.0,100.0
