,original_name,match_name,score,match_index
123,old kent financial corp,slm financial corp,72.64778076168635,965
124,ameriserv financial inc,ameriserv financial bank,87.43005431310571,1275
125,popular inc,banco popular north america,50.54817568768506,3491
126,peoples community bank,peoples bank,64.08902408696676,2777
127,1st source bank,1st source bank,100.0,2383
128,centennial mortgage inc,centennial bank,63.31143613334987,1514
129,1st option,first option mortgage,53.06276674914601,6158
130,granite mortgage inc,best mortgage inc,71.5328490879149,4332
131,irwin mortgage corp,wmc mortgage corp,72.79216968904339,2047
132,resource bank,resource bank,100.0,3486
133,first republic bank,republic bank,73.64870252765047,13626
134,rbc financial group,directors financial group,70.70799227620478,9638
135,cit group inc,clarity mortgage group inc,59.48598360199521,990
136,national australia bank ltd,central national bank,58.442002439488775,82
137,bancfirst corp,bancfirst,75.26818672068207,12634
138,sterling bank,sterling bank,100.0,3636
139,midwest bank na,midwest bank,87.88365658049443,208
140,associates home equity services,peoples home equity inc,55.258258871723775,12272
141,associates housing finance,associated bank na,59.53225595349805,2328
142,quad city bank trust co,quad city bank and trust,83.51988898877813,1283
143,valley bank,valley bank,100.0,5422
144,first bank trust,first bank trust,100.0,4516
145,community bank trust,community bank trust,100.0,13216
146,monarch bank,monarch bank,100.0,167
147,bank ozk,bank ozk,100.0,13817
148,exchange bank,exchange bank,100.0,9971
149,merchants planters bank,merchants planters bank,100.0,14584
150,amalgamated bank,amalgamated bank,100.0,8149
151,kentucky bank,kentucky bank,100.0,8150
152,southwest bank,southwest bank,100.0,5501
153,washington trust bank,washington trust bank,100.0,13705
154,farmers bank,farmers bank,100.0,9059
155,lake area bank,lake area bank,100.0,4531
156,mechanics bank,mechanics bank,100.0,11825
157,brotherhood bank trust,brotherhood bank trust,100.0,1301
158,independent bank,independent bank,100.0,3726
159,bnp paribas,unibank,31.46416066706536,515
160,union state bank,state bank,66.37038828314047,10936
161,southeastern bank financial corp,southeastern bank,68.30592356179763,2411
162,new windsor state bank,new windsor state bank,100.0,3515
163,bankplus,bankplus,100.0,190
164,allegheny valley bancorp inc,allegheny valley bank,82.49903718676643,7273
165,bank of botetourt,bank of botetourt,100.0,9966
166,layton state bank,layton state bank,100.0,2418
167,first commonwealth financial corp,first commonwealth bank,71.225568232842,9968
168,fulton financial corp,fulton bank na,55.151196043610796,12420
169,citizens northern corp,citizens northern bank,82.34741147982128,5453
170,great western bancorp inc,great western bank,79.11309250889835,13921
171,palmetto bank,the palmetto bank,80.84462248678092,9975
172,harvard state bank,the harvard state bank,85.37395655129885,5458
173,western state bank,western state bank,100.0,6364
174,united southern bank,united southern bank,100.0,13887
175,eagle bank,eagle bank,100.0,1324
176,rockland trust co,rockland trust company,85.57819589680166,5461
177,lendmark financial services llc,landmark bank,41.23614342856607,8147
178,mid penn bancorp inc,mid penn bank,72.22289279320509,4557
179,fm bancorp,fm bank,65.1957035893906,13868
180,first state bank trust,first state bank trust,100.0,14480
181,western bank corp inc,western bank,70.68579270025995,2435
182,state bank,state bank,100.0,242
183,pioneer bank,pioneer bank,100.0,453
184,st bancorp inc,cf bancorp,64.3247819935903,5604
185,century bank,century bank,100.0,1338
186,southside bank,southside bank,100.0,7353
187,abc bank,abc bank,100.0,10866
188,bank orion,bank orion,100.0,5475
189,bancorpsouth inc,bancorpsouth bank,83.75130793440678,4569
190,provident savings bank,provident bank,74.95242160420972,8069
191,monroe bank trust,monroe bank trust,100.0,14512
192,carrollton bancorp,carrollton bank,84.82452394961174,5480
193,park bank,park bank,100.0,3654
194,lake city bank,lake city bank,100.0,5413
195,united bank trust,united bank trust,100.0,14606
196,horizon bank,horizon bank,100.0,11724
197,guaranty bank trust co,guaranty bank trust co,100.0,2636
198,south shore bank,south shore bank,100.0,14211
199,carter county bank,carter county bank,100.0,4586
200,greenpoint financial corp,home point financial corp,81.0800402686278,11375
201,ulster savings bank,ulster savings bank,100.0,3571
202,new york community bancorp inc,new york community bank,83.5976460391894,7952
203,ridgewood savings bank,ridgewood savings bank,100.0,14613
204,waukesha state bank,waukesha state bank,100.0,12569
205,iab financial bank,mb financial bank na,82.59357166370785,13158
206,jefferson bank,jefferson bank,100.0,14497
207,metairie bank trust co,metairie bank trust,91.91118854769692,7320
208,standard bank trust co,standard bank and trust co,91.75585373469231,8217
209,torrington savings bank,torrington savings bank,100.0,2477
210,northeast bank,northeast bank,100.0,13339
211,itasca bank trust co,itasca bank trust co,100.0,11741
212,newbridge bancorp,newbridge bank,81.8271863232995,8221
213,bank of glen burnie,the bank of glen burnie,85.30865527479712,2483
214,prosperity bancshares inc,prosperity bank,70.04009062902176,9281
215,first american bank corp,first american bank btc,88.74065994271943,9127
216,delaware county bank trust cs,delaware county bank trust,94.3248130559659,263
217,citizens financial group inc,bristol financial group inc,75.83004573124255,3175
218,umpqua holdings corp,umpqua bank,47.46603628976695,10617
219,central pacific bank,central pacific bank,100.0,267
220,central pacific co,central pacific bank,81.8897464073369,5513
221,first bank of highland park,first bank of highland park,100.0,3592
222,mechanics savings bank,mechanics bank,77.12497796299779,9957
223,scb bancorp inc,cf bancorp,67.49455843184649,4700
224,norway savings bank,norway savings bank,100.0,10028
225,terre haute savings bank,terre haute savings bank,100.0,2497
226,saco biddeford savings institution,saco biddeford savings institution,100.0,13439
227,gorham savings bank,gorham savings bank,100.0,3599
228,bath savings institution,bath savings institution,100.0,8237
229,androscoggin bank,androscoggin bank,100.0,5522
230,brookline bancorp inc,brookline bank,73.62579701633568,4852
231,cambridge savings bank,cambridge savings bank,100.0,2502
232,skagit state bank,skagit state bank,100.0,1398
233,city bank,city bank,100.0,12624
234,bank of newport,bank of hope,67.93631224964196,13160
235,union savings bank,union savings bank,100.0,1400
236,newtown savings bank,newtown savings bank,100.0,11760
237,rockville bank,rockville bank,100.0,7350
238,fairfield county bank,fairfield county bank,100.0,12592
239,hometown bank,hometown bank,100.0,346
240,chelsea groton bank,chelsea groton bank,100.0,11762
241,thomaston savings bank,thomaston savings bank,100.0,12594
242,bangor savings bank,bangor savings bank,100.0,7354
243,town country bank,town country bank,100.0,11868
244,west suburban bank,west suburban bank,100.0,8251
245,first service bank,first service bank,100.0,291
246,firstbank holding co of co,firstbank,43.846191145495574,6360
247,river city bank,river city bank,100.0,1412
248,capital bank,capital bank,100.0,2631
249,fremont bank,fremont bank,100.0,297
250,first citizens bancorp inc,first citizens bank,80.6986900921983,6311
251,republic bancorp mtg inc,republic bank,64.27549714507214,4655
252,south central bank,south central bank,100.0,405
253,lakeside bancorp,lakeside bank,80.57240758622312,6449
254,intl bank of commerce,bank of commerce,81.04003103413056,9006
255,lakeland bancorp inc,lakeland bank,71.74161792927775,306
256,market street mortgage corp,oak street mortgage,72.43256681681245,3193
257,heritage community bank,heritage community bank,100.0,309
258,brunswick bank trust,brunswick bank trust,100.0,2533
259,oak bank,oak bank,100.0,9165
260,marine bank,marine bank,100.0,7369
261,banco santander central hispano sa,banco santander pr,70.71760873568928,13167
262,sterling bancorp,sterling bank,79.9563266378847,7461
263,progressive bank,progressive bank,100.0,12613
264,hillcrest bank,hillcrest bank,100.0,6281
265,commerce bank,commerce bank,100.0,2436
266,alpine bank,alpine bank,100.0,3641
267,florence savings bank,florence savings bank,100.0,10938
268,salem five cents savings bank,salem five cents savings bank,100.0,5559
269,dedham institution for savings,dedham institution for savings,100.0,13742
270,republic bank trust co,republic bank,70.6996743665878,10959
271,belmont savings bank,belmont savings bank,100.0,5563
272,oneunited bank,oneunited bank,100.0,4658
273,northwest bancshares inc,northwest bank,68.40041815695895,9233
274,northwest bank,northwest bank,100.0,11844
275,ocean bank,ocean bank,100.0,2556
276,fremont general corp,fremont bank,52.341796107240356,2520
277,fremont investment loan,fremont investment loan,100.0,3653
278,cornerstone bank na,cornerstone bank,91.44879559941153,1456
279,synovus financial corp,synovus bank,54.68282856306851,5626
280,atlantic stewardship bank,atlantic stewardship bank,100.0,13373
281,north shore bank,north shore bank,100.0,2565
282,melrose cooperative bank,melrose cooperative bank,100.0,3660
283,beverly cooperative bank,beverly cooperative bank,100.0,2568
284,reading cooperative bank,reading cooperative bank,100.0,7245
285,firstrust bank,firstrust,75.48454066683107,10955
286,carolina first corp,carolina first bank,78.1727036996958,6568
287,riverside bank,riverside bank,100.0,4673
288,wilson bank trust,wilson bank trust,100.0,1472
289,peoples united financial inc,peoples united bank,70.58888657649817,5752
290,omni bank,omni bank,100.0,3670
291,altoona first savings bank,altoona first savings bank,100.0,7394
292,towne bank,hometown bank,70.62347963946353,6387
293,haddon savings bank,haddon savings bank,100.0,2585
294,citizens savings bank,citizens savings bank,100.0,9224
295,timberland bancorp inc,timberland bank,73.82728939288018,12640
296,banner bank,banner bank,100.0,7403
297,roselle savings bank,roselle savings bank,100.0,11819
298,northfield savings bank,northfield savings bank,100.0,2591
299,glen rock savings bank,glen rock savings bank,100.0,3684
300,sharon savings bank,sharon savings bank,100.0,4688
301,united savings bank,united savings bank,100.0,4689
302,community savings bank,community savings bank,100.0,3560
303,investors savings bank,investors savings bank,100.0,6494
304,investors bank corp,investors bank,83.23054666269236,12318
305,pyramax bank,pyramax bank,100.0,8096
306,great southern bancorp inc,great southern bank,79.39267901221262,381
307,great midwest bank,midwest bank,71.8466450488857,3531
308,lisle savings bank,lisle savings bank,100.0,2602
309,nve bancorp,nve bank,67.60675102026332,384
310,bogota savings bank,bogota savings bank,100.0,11833
311,guaranty federal savings,federal savings bank,60.313281314110654,8972
312,shelter mortgage co,shore mortgage,69.77232545735383,3271
313,boiling springs savings bank inc,boiling springs savings bank,93.90764151150319,4702
314,first savings bank,first savings bank,100.0,13270
315,manasquan savings bank,manasquan savings bank,100.0,3704
316,magyar bancorp,magyar bank,78.0174638260881,13515
317,east west bancorp,east west bank,83.11051462806178,14665
318,doral bank,doral bank,100.0,4711
319,mercantile bank corp,mercantile bank,83.74721295216942,1480
320,homestreet inc,homestreet bank,77.2642286020367,9232
321,centennial bank,centennial bank,100.0,396
322,eastern bank,eastern bank,100.0,9234
323,gulf coast bank trust co,gulf coast bank trust co,100.0,6517
324,citizens first bank,citizens first bank,100.0,1536
325,village bank,village bank,100.0,8341
326,mountain west bank,mountain west bank,100.0,1522
327,bay bank,bay bank,100.0,13988
328,american enterprise bank,american enterprise bank,100.0,5625
329,southern community bank trust,southern community bk trust,95.72443962440698,165
330,conseco finance corp,refinancecom,51.00455145646053,4368
331,first internet bancorp,first internet bank,88.11122245328016,14232
332,macatawa bank corp,macatawa bank,83.99906356789731,12681
333,townebank,hometown bank,54.07630160737732,10115
334,reliance bank,reliance bank,100.0,7446
335,renasant corp,renasant bank of tennessee,51.08817404512176,423
336,hyde park savings bank,hyde park savings bank,100.0,2664
337,bridgewater savings bank,bridgewater savings bank,100.0,3758
338,east cambridge savings bank,cambridge savings bank,85.20193557762435,4617
339,clinton savings bank,clinton savings bank,100.0,9274
340,middlesex savings bank,middlesex savings bank,100.0,12699
341,lowell five cent savings bank,lowell five cent savings bank,100.0,13997
342,institution for savings,institution for savings,100.0,13346
343,randolph savings bank,randolph savings bank,100.0,1563
344,spencer savings bank,spencer savings bank,100.0,3765
345,stoneham savings bank,gorham savings bank,71.66699221318771,11753
346,south shore savings bank,south shore savings bank,100.0,2673
347,piedmont federal savings bank,piedmont federal savings bank,100.0,7152
348,home federal bank,home federal bank,100.0,10724
349,union federal savings loan assn,union federal savings loan,91.4919326933867,2676
350,huntington federal,huntington federal,100.0,11582
351,cheviot savings bank,cheviot savings bank,100.0,6574
352,capitol federal financial inc,capitol federal savings,70.29337141696902,6575
353,guardian savings,guardian savings bank,86.5623922164711,8953
354,washington federal inc,washington federal,88.84241741421084,14658
355,home bank,home bank,100.0,8955
356,home savings loan co,home savings loan company,88.48978846747747,3675
357,liberty federal,liberty federal savings bank,67.61609177278025,2690
358,bell federal sl assn,piedmont federal sl assn,69.16411767596253,3767
359,harrington bank,harrington bank fsb,87.40708759135552,557
360,first federal savings loan,first federal savings loan,100.0,3795
361,mid america bancorp,mid america bank,85.17359905274353,3784
362,chesapeake bank of md,chesapeake bank,81.95191676104386,6289
363,ambler savings bank,ambler savings bank,100.0,2590
364,kearny financial corp,gte financial,57.58203535317893,14628
365,somerset savings bank,somerset savings bank sla,91.46763731775138,10972
366,bankfinancial fsb,bankfinancial fsb,100.0,9858
367,columbia bank,columbia bank,100.0,12435
368,third federal bank,third federal bank,100.0,5689
369,tierone bank,tierone bank,100.0,480
370,bedford federal savings bank,bedford federal savings bank,100.0,107
371,united fidelity bank,united fidelity bank,100.0,482
372,rosedale federal savings loan assn,rosedale federal savings loan,92.35591718883764,14607
373,windsor federal savings,windsor federal savings,100.0,1599
374,charleroi federal savings bank,charleroi federal savings bank,100.0,3797
375,north american savings bank,north american savings bank,100.0,11596
376,indymac federal bank,indymac bank fsb,65.96828494750082,1603
377,federal savings bank,federal savings bank,100.0,4797
378,first federal bank,first federal bank,100.0,6598
379,riverview community bank,riverview community bank,100.0,4751
380,prudential financial inc,prudential savings bank,61.173421503503846,8321
381,third federal savings loan,third federal savings and loan,92.97269671112844,10659
382,roma bank,roma bank,100.0,1611
383,hatboro federal savings,hatboro federal savings,100.0,498
384,carver federal savings bank,carver federal savings bank,100.0,6606
385,geddes federal savings loan assn,geddes federal savings loan,91.81322480250893,11602
386,huntingdon valley bank,huntingdon valley bank,100.0,13573
387,lake shore savings inc,lake shore savings,89.37866729829139,7184
388,barclays plc,merchants planters bank,38.0441135311991,14584
389,el dorado savings bank,el dorado savings bank,100.0,5713
390,downey sl assn,downey savings and loan,60.99396702522911,3818
391,colonial savings fa,colonial savings fa,100.0,1624
392,interamerican bank,interamerican bank,100.0,2730
393,slovenian savings loan,slovenian savings loan,100.0,3825
394,unibank,unibank,100.0,1628
395,action mortgage,shore mortgage,55.881471957600745,4333
396,wsfs financial corp,wsfs bank,46.61162515084262,6617
397,luther burbank savings,luther burbank savings,100.0,6618
398,united services automobile assn,first service bank,47.22905770610339,10046
399,sterling bank trust fsb,sterling bank,68.52969557629072,114
400,dollar bank,dollar bank fsb,83.53924205209658,6621
401,bankunited inc,bankunited fsb,78.68232863895166,2739
402,new south federal savings bank,new south federal savings bank,100.0,523
403,mutual of omaha insurance co,mutual of omaha bank,75.70736841841033,6623
404,presidential bank,presidential bank fsb,88.6160242330495,529
405,flagstar bancorp inc,flagstar bank,71.21881427307808,530
406,greater atlantic mortgage corp,greater atlantic bank,71.22441647753216,2748
407,union federal bank,home federal bank,70.89806946947644,8302
408,franklin savings bank fsb,ing bank fsb,61.279552241076104,2770
409,raymond james financial inc,raymond james bank na,69.78592937195636,10665
410,frontier bank,frontier bank,100.0,13748
411,golden west financial corp,goldenwest credit unio,60.690458354709506,4995
412,webster bank,webster bank na,88.42889628119921,4476
413,hometrust banking partnership,hometrust bank,64.03802865933875,542
414,domestic bank,domestic bank,100.0,3849
415,midfirst bank,midfirst bank,100.0,8999
416,staten island savngs bank,staten island bank t co icb,70.08021280675078,547
417,hickory point bank trust,hickory point bank trust,100.0,12614
418,bank mutual,bank mutual,100.0,8095
419,centris federal credit union,centris federal credit union,100.0,562
420,campus federal credit union,campus federal credit union,100.0,7480
421,american eagle federal credit union,american eagle fcu,68.69813946079177,3873
422,first atlantic federal credit union,first atlantic federal credit,90.6307744332631,14337
423,tropical financial credit union,tropical financial credit unio,98.40412367154663,6978
424,gte financial,gte financial,100.0,11042
425,pentagon federal credit union,pentagon federal credit union,100.0,13572
426,jax federal credit union,jax federal credit union,100.0,3878
427,credit union mortgage,shore mortgage,49.54269863576002,1063
428,bfg federal credit union,bfg federal credit union,100.0,1682
429,utah first federal credit union,utah first credit union,83.0075073481487,2787
430,lbs financial credit union,lbs financial credit union,100.0,7795
431,affinity federal credit union,affinity credit union,81.22612570840059,2991
432,star usa federal credit union,star usa federal credit union,100.0,576
433,river city federal credit union,river city bank,54.17135750521182,1469
434,new mexico educators federal credit union,new mexico educators federal c,85.56455683417573,2793
435,north jersey federal credit union,north jersey federal cu,81.2326423368363,4875
436,south carolina federal credit union,south carolina federal credit union,100.0,13826
437,coastline federal credit union,coastline federal credit union,100.0,4876
438,bmi federal credit union,bmi federal credit union,100.0,10192
439,langley federal credit union,langley federal credit union,100.0,582
440,pen air federal credit union,pen air federal credit union,100.0,6670
441,university federal credit union,university credit union,82.91709228502229,3086
442,illiana financial credit union,illiana financial credit union,100.0,8693
443,midwest america federal credit union,midwest america federal credit,90.96043739647524,5776
444,resource one credit union,resource one credit union,100.0,918
445,hawaii state federal credit union,hawaii state fcu,62.68967020106368,7501
446,arizona federal credit union,arizona federal credit union,100.0,587
447,hawaii schools federal credit union,hawaii schools fcu,63.48979265984953,5780
448,evolve federal credit union,evolve federal credit union,100.0,11065
449,hawaiiusa federal credit union,hawaiiusa federal credit union,100.0,9311
450,sunmark federal credit union,sunmark federal credit union,100.0,4887
451,pearl harbor federal credit union,pearl harbor federal credit un,95.49277702614751,592
452,logix federal credit union,logix federal credit union,100.0,11914
453,horizons federal credit union,horizon bank,44.56329927279927,324
454,citadel federal credit union,citadel federal credit union,100.0,6682
455,tucson federal credit union,tucson federal credit union,100.0,12734
456,kern schools federal credit union,kern schools fed credit union,92.5338906939997,10208
457,south jersey federal credit union,south jersey federal credit un,95.34929661997298,6685
458,north island financial credit union,north island credit union,82.58544622924374,12184
459,member one federal credit union,member one fcu,60.93954249688897,3907
460,kinecta federal credit union,kinecta federal credit union,100.0,14361
461,western sun federal credit union,western sun federal credit uni,96.86445652683497,5792
462,gcs federal credit union,gcs federal credit union,100.0,6689
463,summit federal credit union,summit credit union,78.59895814565321,12134
464,kellogg community federal credit union,kellogg community credit union,86.81444929930292,13229
465,united southeast federal credit union,united southeast federal c u,86.06218964205432,1715
466,beaver valley federal credit union,beaver valley fcu,66.91765971044988,3915
467,sac federal credit union,sac federal credit union,100.0,6694
468,family first federal credit union,the family credit union,65.5674285339682,6815
469,glass city federal credit union,glass city federal credit unio,98.33089970277751,7522
470,navy federal credit union,navy federal credit union,100.0,13155
471,keesler federal credit union,esl federal credit union,82.99280209758405,2915
472,harvesters federal credit union,harvesters federal credit union,100.0,12744
473,andrews federal credit union,andrews federal credit union,100.0,12745
474,ornl federal credit union,ornl federal credit union,100.0,11928
475,alaska usa federal credit union,alaska usa federal credit unio,98.42550723814044,4910
476,sun east federal credit union,sun east federal credit union,100.0,1727
477,river valley credit union,river valley credit union,100.0,5055
478,dearborn federal credit union,harborone credit union,72.1506511585063,4173
479,one nv credit union,credit union one,71.04655338211442,8572
480,merck sharp dohme federal credit union,merck sharp dohme fcu,68.7328315112799,7531
481,ventura county credit union,ventura county credit union,100.0,12185
482,neches federal credit union,neches federal credit union,100.0,14368
483,members 1st federal credit union,members 1st fcu,59.44143045736481,12751
484,abilene teachers federal credit union,teachers credit union,67.19933004295704,5004
485,y12 federal credit union,y12 federal credit union,100.0,14145
486,people first federal credit union,people first fcu,62.24774521978694,624
487,1st advantage federal credit union,1st advantage federal credit u,93.4678124154969,6713
488,redstone federal credit union,redstone federal credit union,100.0,7539
489,dort federal credit union,dort federal credit union,100.0,6716
490,cbc federal credit union,cbc federal credit union,100.0,8445
491,truliant federal credit union,truliant federal credit union,100.0,10236
492,white sands federal credit union,white sands federal cu,80.18135285024108,5823
493,bank lantec fin fed credit union,bank lantec,50.28702055443849,3866
494,teachers federal credit union,teachers credit union,82.52362380116774,2926
495,pacific marine credit union,pacific marine credit union,100.0,6090
496,genco federal credit union,genco federal credit union,100.0,9348
497,finance center federal credit union,finance center federal c u,83.90269816481371,1746
498,capital communications federal credit union,capital communications fcu,74.6697293218524,1747
499,safeamerica credit union,safeamerica credit union,100.0,4231
500,direct federal credit union,direct federal credit union,100.0,6724
501,hanscom federal credit union,hanscom federal credit union,100.0,11105
502,ln federal credit union,ln federal credit union,100.0,11107
503,yolo federal credit union,lanco federal credit union,80.89053330542191,3977
504,robins federal credit union,robins federal credit union,100.0,642
505,eglin federal credit union,eglin federal credit union,100.0,10246
506,first charter federal credit union,first credit union,67.30502724789943,9592
507,mccoy federal credit union,mccoy federal credit union,100.0,13974
508,heritage trust federal credit union,heritage trust federal credit union,100.0,14112
509,safe federal credit union,safe credit union,78.47373317086107,13760
510,max federal credit union,max federal credit union,100.0,3954
511,university of hi federal credit union,university credit union,74.1668022933219,14040
512,utah community credit union,utah community credit union,100.0,10251
513,tyndall federal credit union,tyndall federal credit union,100.0,5835
514,arkansas federal credit union,arkansas federal credit union,100.0,5836
515,security service federal credit union,security service fcu,68.70942373535108,4941
516,shreveport federal credit union,shreveport federal credit unio,98.38235065975297,11959
517,sandia area federal credit union,sandia area federal credit uni,96.98308150464247,4943
518,family trust federal credit union,family trust fed credit union,92.52465544256094,2867
519,ent federal credit union,ent federal credit union,100.0,7561
520,bay federal credit union,bay bank,24.706801417883707,2638
521,chartway federal credit union,chartway federal credit union,100.0,11121
522,abnb federal credit union,abnb federal credit union,100.0,5843
523,vista federal credit union,vista federal credit union,100.0,660
524,virginia beach schools federal credit union,virginia beach schools fcu,72.75036660059543,2873
525,diamond valley federal credit union,diamond valley fcu,66.22961308090608,11123
526,mission federal credit union,mission federal credit union,100.0,7566
527,hartford federal credit union,hartford federal credit union,100.0,664
528,asi federal credit union,asi federal credit union,100.0,5849
529,pinnacle federal credit union,pinnacle federal credit union,100.0,10266
530,matadors community credit union,matadors community credit union,100.0,12995
531,midhudson valley federal credit union,midhudson valley federal cred,87.17796966200085,2880
532,heritage federal credit union,heritage federal credit union,100.0,8478
