,respondentname,hmda_id,advertiser_name,advertiser_id,match_index,score
0,"AMCORE MORTGAGE, INC.",100-1-00-1196704,McCue Mortgage Co,744.0,768.0,78.64637103023666
1,SOUTHEASTERN MORTGAGE OF TN,100-2-00-2000006,NORTHEAST MORTGAGE INC,805.0,2643.0,74.2276699080783
2,FIRST UNION NATIONAL BANK,10000-0000000001,Unity Bancorp Inc,1155.0,69.0,55.339780211738976
3,"BANK ONE, NA",10000-0000000008,OneMain Holdings Inc,871.0,4534.0,53.83058305112852
4,"FIRSTAR BANK, N.A.",10000-0000000024,Firstrust Bank,470.0,285.0,70.56502651155955
5,"PREMIER NATIONAL BANCORP, INC.",10000-0000000035,First Premier Bank,457.0,100.0,100.0
6,"BANK OF LANCASTER COUNTY, N.A.",10000-0000000042,Carter County Bank,238.0,199.0,61.50889984671696
7,THE FIRST NATIONAL BANK OF MCC,10000-0000000046,,,,
8,TERRE HAUTE FIRST NATIONAL BAN,10000-0000000047,Terre Haute Savings Bank,1095.0,225.0,72.49479842801206
9,FIRST SOUTHWESTERN,10000-0000000056,Southwest Bank,1048.0,152.0,82.60912371957905
10,FIRST NAT'L BANK GERMANTOWN,10000-0000000086,,,,
11,FIRST NATIONAL BANK OF HUDSON,10000-0000000095,,,,
12,"NATIONAL CITY BANK, KENTUCKY",10000-0000000109,Kentucky Bank,656.0,151.0,67.53305021202841
13,IST NATIONAL BANK OF W.CHESTER,10000-0000000148,Western Bank Corp Inc,1209.0,181.0,67.55594130051738
14,FIRST NATIONAL BANK,10000-0000000164,,,,
15,"COMMERCE BANK, N.A.",10000-0000000176,Bank Of Commerce,143.0,94.0,100.0
16,"NATIONAL CITY BANK, MICH/ILL",10000-0000000191,NATIONAL CITY BANK OF IN,797.0,10.0,55.70766558408301
17,FLEET NATIONAL BANK,10000-0000000200,,,,
18,FIRST NATIONAL BANK OF OMAHA,10000-0000000209,Roma Bank,978.0,382.0,55.154082476635345
19,FIRST NATIONAL BANK OF PENNSYL,10000-0000000249,,,,
20,ADAMS COUNTY NATIONAL BANK,10000-0000000311,Carter County Bank,238.0,199.0,54.1026809388511
21,FIRST NATIONAL BANK & TRUST CO,10000-0000000324,National Bank & Trust Co,809.0,20.0,100.0
22,"FNB BANK, N.A.",10000-0000000325,FNB Corp,404.0,7.0,100.0
23,FIRST TENNESSEE BANK N.A.,10000-0000000336,,,,
24,CAYUGA LAKE NATIONAL BANK,10000-0000000412,,,,
25,"UNITED BANK, N.A.",10000-0000000443,OneUnited Bank,872.0,272.0,72.20091159387222
26,FIRST NATL BANK OF SUFFIELD,10000-0000000497,,,,
27,GRUNDY COUNTY NATIONAL BANK,10000-0000000531,County National Bank,312.0,52.0,55.22149484493299
28,FIRST NATIONAL BANK OF BERWICK,10000-0000000568,,,,
29,THE HONESDALE NATIONAL BANK,10000-0000000644,Honesdale National Bank,605.0,9.0,100.0
30,DOWNINGTOWN NATIONAL BANK,10000-0000000661,,,,
31,NATIONAL GRAND BANK,10000-0000000676,,,,
32,1ST NATIONAL BK OF LITCHFIELD,10000-0000000709,,,,
