,respondentname,hmda_id,advertiser,advertiser_id,score
0,"AMCORE MORTGAGE, INC.",100-1-00-1196704,Aramco Financial,100997,84.64949081
1,SOUTHEASTERN MORTGAGE OF TN,100-2-00-2000006,Southeastern Mortgage,25011,93.12136471
2,FIRST UNION NATIONAL BANK,10000-0000000001,First National Bank & Trust Co Of Newtown,1573,84.46166773
3,"BANK ONE, NA",10000-0000000008,Bank Of NE,488,90.28896714
4,"FIRSTAR BANK, N.A.",10000-0000000024,First Bank Na,102990,87.92929958
5,"PREMIER NATIONAL BANCORP, INC.",10000-0000000035,Prime National Credit Repair,109228,86.63214907
6,"BANK OF LANCASTER COUNTY, N.A.",10000-0000000042,,,
7,THE FIRST NATIONAL BANK OF MCC,10000-0000000046,First National Bank Of MI,171409,92.56754499
8,TERRE HAUTE FIRST NATIONAL BAN,10000-0000000047,,,
9,FIRST SOUTHWESTERN,10000-0000000056,Logic,159638,85.04698246
10,FIRST NAT'L BANK GERMANTOWN,10000-0000000086,,,
11,FIRST NATIONAL BANK OF HUDSON,10000-0000000095,First National Bank & Trust Co Of Newtown,1573,84.78006775
12,"NATIONAL CITY BANK, KENTUCKY",10000-0000000109,Accubanc Mortgage Corp,2682,83.10289463
13,IST NATIONAL BANK OF W.CHESTER,10000-0000000148,,,
14,FIRST NATIONAL BANK,10000-0000000164,First National Bank & Trust Co Of Newtown,1573,100
15,"COMMERCE BANK, N.A.",10000-0000000176,Commerce Bank,983,100
17,"NATIONAL CITY BANK, MICH/ILL",10000-0000000191,Accubanc Mortgage Corp,2682,84.70543953
18,FLEET NATIONAL BANK,10000-0000000200,EH National Bank,170889,80.18582938
19,FIRST NATIONAL BANK OF OMAHA,10000-0000000209,First National Bank Of AK,46088,86.94500604
20,FIRST NATIONAL BANK OF PENNSYL,10000-0000000249,First National Bank Of Nevada,45868,85.97275847
21,ADAMS COUNTY NATIONAL BANK,10000-0000000311,County National Bank,18332,81.30503433
22,FIRST NATIONAL BANK & TRUST CO,10000-0000000324,National B&T Co,2726,85.21279861
23,"FNB BANK, N.A.",10000-0000000325,QNB Bank,70663,82.75055755
24,FIRST TENNESSEE BANK N.A.,10000-0000000336,,,
25,CAYUGA LAKE NATIONAL BANK,10000-0000000412,,,
26,"UNITED BANK, N.A.",10000-0000000443,United Nebraska Bank,34584,86.6953351
27,FIRST NATL BANK OF SUFFIELD,10000-0000000497,First National Bank Of Suffield,18885,90.46464983
28,GRUNDY COUNTY NATIONAL BANK,10000-0000000531,County National Bank,18332,80.17160684
29,FIRST NATIONAL BANK OF BERWICK,10000-0000000568,First National Bank Of MI,171409,82.93520505
30,THE HONESDALE NATIONAL BANK,10000-0000000644,Honesdale National Bank,1950,100
31,DOWNINGTOWN NATIONAL BANK,10000-0000000661,,,
32,NATIONAL GRAND BANK,10000-0000000676,National Grand Bank,47436,100
33,1ST NATIONAL BK OF LITCHFIELD,10000-0000000709,First National Bank Of MI,171409,81.13205738
34,NATIONAL CITY BANK,10000-0000000786,Accubanc Mortgage Corp,2682,92.55799042
35,WAYNE COUNTY NATIONAL BANK,10000-0000000828,County National Bank,18332,82.31200097
36,THE CITIZENS NATIONAL BANK,10000-0000000863,Citizens National Bank,947,100
37,THE MILFORD NATIONAL BANK,10000-0000000866,Bradford National Bank,17899,80.08933537
38,"NATIONAL CITY BANK, INDIANA",10000-0000000869,Accubanc Mortgage Corp,2682,89.62481282
39,CHAMPAIGN NATIONAL BANK AND TR,10000-0000000916,Champlain National Bank,73178,82.6162594
40,"STATE FINANCIAL BANK, NA",10000-0000000945,,,
41,BEVERLY NATIONAL BANK,10000-0000000969,Liberty National Bank,2335,81.60036586
42,PUTNAM COUNTY NATIONAL BANK,10000-0000000976,County National Bank,18332,80.95404302
43,STISSING NATIONAL BANK OF PINE,10000-0000000981,,,
44,FIRST & OCEAN NATIONAL BANK,10000-0000001011,First National Bank & Trust Co Of Newtown,1573,84.3517801
45,THE LYONS NATIONAL BANK,10000-0000001027,Lyons National Bank,125880,100
46,FIRST NATIONAL BANK OF GROTON,10000-0000001083,First National Bank & Trust Co Of Newtown,1573,84.58857021
47,"ALLIANCE BANK, N.A.",10000-0000001090,Alliance Bank,172,100
48,CENTRAL NATIONAL BANK,10000-0000001122,Central National Bank,871,100
49,ROCKPORT NATIONAL BANK,10000-0000001194,Rockport National Bank,80239,100
50,FIRST NATIONAL TRUST BANK,10000-0000001237,First National Bank & Trust Co Of Newtown,1573,85.05040958
51,VISTA BANK NA,10000-0000001239,,,
52,BALLSTON SPA NATIONAL BANK,10000-0000001253,Ballston Spa National Bank,396,100
53,OCEAN NATIONAL BANK,10000-0000001254,,,
54,THE NATIONAL BANK OF VERNON,10000-0000001264,First Peoples Bank Of Tennessee,75605,83.29815963
55,FARMERS & MECHANICS NATL BANK,10000-0000001267,Farmers & Merchants Bank,1441,81.62160799
56,PNC BANK NA,10000-0000001316,,,
57,"NBT BANK, NA",10000-0000001354,MBT Bank,94439,83.01273817
58,NATIONAL BANK OF COXSACKIE,10000-0000001398,,,
59,UNITED NATIONAL BANK,10000-0000001427,United National Bank,8755,100
60,"CITIBANK, NA",10000-0000001461,,,
61,WILLIAMSPORT NATIONAL BANK,10000-0000001464,,,
63,FIRST SOUTHERN NATIONAL BANK,10000-0000001493,First Southern National Bank,1602,100
64,UNION NATIONAL COMMUNITY BANK,10000-0000001516,,,
65,WACHOVIA BANK,10000-0000001559,,,
66,NATIONAL BK OF FREDERICKSBURG,10000-0000001582,First National Bank Of Fredericksburg,55628,82.86555145
67,UNION NATIONAL BANK,10000-0000001596,United National Bank,8755,85.41424358
68,"WELLS FARGO BANK, NA",10000-0000001741,,,
69,FIRST NATIONAL BANK SANTA FE,10000-0000001750,First Convenience Bank,27555,85.28089202
70,BOONE COUNTY NATIONAL BANK,10000-0000001770,County National Bank,18332,81.75772495
71,FIRST NATIONAL BANK OF SHELBY,10000-0000001929,First National Bank & Trust Co Of Newtown,1573,84.41551284
73,NATIONAL BANK & TRUST COMPANY,10000-0000001997,National B&T Co,2726,100
74,"WELLS FARGO BANK MINNESOTA, NA",10000-0000002006,,,
75,UNION COUNTY NATIONAL BANK,10000-0000002007,Friendly Bremen Bank,100245,88.83276171
76,COMMUNITY FIRST NATIONAL BANK,10000-0000002030,Community First National Bank,1011,100
77,NATIONAL PENN BANK,10000-0000002137,First Peoples Bank Of Tennessee,75605,82.60274987
78,WILBER NATIONAL BANK,10000-0000002151,,,
79,FIRST MERCHANTS BANK N A,10000-0000002234,First Farmers & Merchants Bank,83596,82.06929745
80,"COMMUNITY BANKS, N.A.",10000-0000002252,Community Bank,1003,95.85612019
81,"WELLS FARGO BANK IOWA, NA",10000-0000002307,,,
82,UNION NATIONAL BANK AND TRUST,10000-0000002333,,,
83,THE CENTREVILLE NATIONAL BANK,10000-0000002341,Central National Bank,871,83.49524563
84,LEBANON CITIZENS NATIONAL BANK,10000-0000002360,,,
85,THE QUAKERTOWN NATIONAL BANK,10000-0000002366,,,
86,WELLS FARGO BANK NORTH DAKOTA,10000-0000002377,,,
87,CITIZENS FIRST NATIONAL BANK,10000-0000002413,Citizens First National Bank,945,100
88,MERCHANTS NATIONAL BANK,10000-0000002449,Merchants National Bank,66264,100
89,FIRST NATIONAL BANK OF WEATHER,10000-0000002477,First National Bank Of Wthrfrd,1579,93.13568486
90,SECOND NATIONAL BANK,10000-0000002479,,,
91,NATIONAL BANK OF RISING SUN,10000-0000002481,,,
92,EPHRATA NATIONAL BANK,10000-0000002515,Ephrata National Bank,73821,100
93,"FIRST MINNESOTA BANK, N.A.",10000-0000002571,,,
94,"FIRST SECURITY BANK, NA",10000-0000002597,1st Security Bank,44219,92.2173473
95,COMMUNITY NATIONAL BANK,10000-0000002618,Community National Bank,1012,100
97,"HORIZON BANK, N.A.",10000-0000002747,Horizon Bank,1951,100
98,"INTRUST BANK, N.A.",10000-0000002782,Intrust Bank,2072,100
99,THE RIPLEY NATIONAL BANK,10000-0000002837,,,
101,"WELLS FARGO BANK NEBRASKA, NA",10000-0000002978,,,
102,MIDAMERICAN BANK AND TRUST,10000-0000003033,,,
103,"BANK ONE, WEST VIRGINIA, NA",10000-0000003106,,,
104,THE SECURITY NATIONAL BANK OF,10000-0000003124,Security National Bank,34116,86.6705864
105,THE NATIONAL BANK OF MALVERN,10000-0000003147,,,
106,"CITIZENS BANK, N.A.",10000-0000003175,Citizens,940,100
107,CORNERBANK NA,10000-0000003218,CornerBank,54968,100
108,"WELLS FARGO BANK WEST, NA",10000-0000003269,,,
109,FIRST NATIONAL BANK OF BAIRD,10000-0000003286,First National Bank Of AK,46088,89.47656443
110,"COMMUNITY FIRST BANK, NA",10000-0000003291,Community First Bank,1009,100
111,"TEAMBANK, N.A.",10000-0000003350,,,
112,FIRST NATIONAL BANK OF ANTHONY,10000-0000003385,1st National Bank Of Arizona,17262,85.87384593
113,THE FIRST NATIONAL BANK IN SIO,10000-0000003393,First National Bank Of MI,171409,88.54382881
114,FIRST NATIONAL BANK OF BRYAN,10000-0000003446,First National Bank & Trust Co Of Newtown,1573,87.33019674
115,FARMERS NATIONAL BANK,10000-0000003654,Farmers & Mechanics National Bank,1446,100
116,NATIONAL BANK OF COMMERCE,10000-0000003656,IBC Bank,2066,85.02020532
117,THE ATLANTA NATIONAL BANK,10000-0000003711,Atlanta National Bank,181175,100
118,FIRST NATIONAL BANK OF OLATHE,10000-0000003720,First Convenience Bank,27555,87.90936284
119,FIRST NATIONAL BANK-FOX VALLEY,10000-0000003724,First National Bank Fox Valley,159578,94.6272622
121,CANANDAIGUA NATIONAL BANK,10000-0000003817,,,
122,FIRST NAT'L BANK OF MT PULASKI,10000-0000003839,,,
123,AMBOY NATIONAL BANK,10000-0000003878,Amboy National Bank,196,100
124,FIRST CHARTER NATIONAL BANK,10000-0000003903,,,
125,NATIONAL BANK AND TRUST,10000-0000003906,,,
126,FIRST NATIONAL BANK OF BAR HAR,10000-0000003941,First National Bank Of AK,46088,83.03255266
127,BAKER BOYER BANK,10000-0000003956,,,
128,THE LENOX NATIONAL BANK,10000-0000004013,Canon National Bank,91939,81.80286527
129,FNB OF MIFFLINLINTOWN,10000-0000004039,,,
131,FIRST NATIONAL BANK OF BASTROP,10000-0000004093,First National Bank & Trust Co Of Newtown,1573,83.57491323
132,NATIONAL BANK,10000-0000004097,National Bank At Edwardsville,85193,100
133,NATIONAL CAPITAL BANK OF WASH,10000-0000004107,,,
134,FIRST NATIONAL BANK OF ABILENE,10000-0000004166,1st National Bank Of Arizona,17262,85.67272646
135,SUFFOLK COUNTY NATIONAL BANK,10000-0000004230,,,
136,FIRST NATIONAL BANK OF ATHENS,10000-0000004278,1st National Bank Of Arizona,17262,87.88068939
138,FIRST NATIONAL BANK OF VA,10000-0000004289,First National Bank Of Nevada,45868,94.9960807
139,ZIONS FIRST NATIONAL BANK,10000-0000004341,Net 1st National Bank,2758,82.45193782
141,NBC BANK NA,10000-0000004490,NBKC Bank,161481,91.09741146
143,THE FIRST NATIONAL BANK OF GOL,10000-0000004565,First National Bank & Trust Co Of Newtown,1573,90.19071134
144,OLD SECOND NATIONAL BANK,10000-0000004596,,,
145,"HARRIS BANK BATAVIA, N.A.",10000-0000004646,,,
146,FIRST NATIONAL BANK OF CROCKET,10000-0000004684,First National Bank Of AK,46088,82.10066628
147,"SUNFLOWER BANK, N.A.",10000-0000004742,,,
148,THE FIRST NATIONAL BANK OF IPS,10000-0000004774,First National Bank Of MI,171409,92.48722484
149,"POINTBANK, NA",10000-0000004777,PointBank,120070,100
150,MIDLAND NATIONAL BANK,10000-0000004860,Midland National Bank,2590,100
151,FIRST NATIONAL BANK OF NEWPORT,10000-0000004917,First National Bank Of Nevada,45868,85.97855486
152,FIRST NATIONAL BANK OF DECATUR,10000-0000004920,First Convenience Bank,27555,83.0994759
153,UMB NATIONAL BANK OF AMERICA,10000-0000004945,,,
154,FIRST NATIONAL BANK-MANITOWOC,10000-0000004975,First National Bank & Trust Co Of Newtown,1573,81.59407625
155,THE LAREDO NATIONAL BANK,10000-0000005001,Llano National Bank,94353,82.22945566
156,RIGGS BANK NA,10000-0000005046,,,
157,NAZARETH NATIONAL BANK,10000-0000005077,Nazareth National B&T,2750,91.02439368
159,FROST NATIONAL BANK,10000-0000005179,First National Bank & Trust Co Of Newtown,1573,90.64641495
160,WAGGONER NATIONAL BANK,10000-0000005203,,,
162,RIDDELL NATIONAL BANK,10000-0000005267,Riddell National Bank,80204,100
163,CITY NATIONAL BANK,10000-0000005275,City National Bank,951,100
165,FIRST NATIONAL BANK OF OGDEN,10000-0000005304,First National Bank Of Nevada,45868,88.30031254
166,STILLWATER NATIONAL BANK,10000-0000005347,,,
167,FIRST NATIONAL BANK OF SONORA,10000-0000005466,First National Bank Of Nevada,45868,87.11774088
169,"PEOPLES BANK, NA",10000-0000005552,Peoples Bank,7909,100
171,SANDY SPRING NATIONAL BANK,10000-0000005561,,,
172,"AUSTIN BANK, TEXAS, N.A.",10000-0000005581,,,
173,FIRST NATL BANK OF CHILLICOTHE,10000-0000005584,,,
174,THE MARS NATIONAL BANK,10000-0000005599,Mars National Bank,2504,100
175,HALIFAX NATIONAL BANK,10000-0000005601,,,
177,"GUARANTY BANK, N.A.",10000-0000005625,,,
178,CENTURY BANK N.A.,10000-0000005636,Century Bank,875,100
179,FIRST NATIONAL BANK WINNSBORO,10000-0000005674,First National Bank Of Nevada,45868,82.74290637
180,GILMER NATIONAL BANK,10000-0000005741,,,
181,FIRST NATIONAL BANK TEXAS,10000-0000005750,First Convenience Bank,27555,93.32761858
182,CITY NATIONAL BANK & TRUST CO.,10000-0000005753,National B&T Co,2726,86.97463747
183,"COMMUNITY BANK, NA",10000-0000005784,Community Bank,1003,100
184,"RESOURCE BANK, N.A.",10000-0000005815,Resource Bank,16358,100
186,HOME NATIONAL BANK,10000-0000005842,Home National Bank,1938,100
187,FNB OF CENTRAL TEXAS,10000-0000005850,,,
188,RAMSEY NATIONAL BANK & TRUST C,10000-0000005886,,,
189,FIRST NATIONAL BANK OF KEMP,10000-0000005932,First National Bank Of MI,171409,91.27904587
190,EMPRISE BANK NA,10000-0000006120,,,
191,"WELLS FARGO BANK NEW MEXICO,NA",10000-0000006187,,,
193,FIRST AMERICAN NATNL BANK,10000-0000006220,First American Bank Of Alabama,10492,84.52594682
194,YORKVILLE NATIONAL BANK,10000-0000006239,,,
195,"MELLON BANK, N.A.",10000-0000006301,,,
197,FIRST NATIONAL BANK SAUK CENTR,10000-0000006417,First National Bank Of Central TX,27550,85.14320649
198,FNB OF SLIPPERY ROCK,10000-0000006483,,,
199,THE JIM THORPE NATIONAL BANK,10000-0000006534,,,
201,HOBLITZELL NATIONAL BANK,10000-0000006615,,,
202,THE PEOPLES NATIONAL BANK,10000-0000006667,Peoples National Bank,7914,100
203,SIMMONS FIRST NATIONAL BANK,10000-0000006680,Metropolitan National Bank,8317,81.32033097
204,FIRST NAT'L BANK OF ELMER,10000-0000006707,First National Bank Of Elmer,36772,89.31055582
205,CITIZENS NATIONAL BANK & TRUST,10000-0000006752,Citizens National Bank Of Tennessee,35773,91.34277245
209,FIRST NATIONAL BANK OF COWETA,10000-0000006879,First National Bank & Trust Co Of Newtown,1573,84.99936408
210,FIRST NATIONAL BANK OF SUMNER,10000-0000006907,First National Bank Of Nevada,45868,87.32214449
211,FIRST NATIONAL BANK OF RAYMOND,10000-0000006910,First National Bank Of Nevada,45868,85.87964053
213,"FIRST COMMERCIAL BANK, N.A.",10000-0000006963,First Commercial Bank,1527,100
214,MINERS NATIONAL BANK OF EVELET,10000-0000006991,,,
216,THE HERRING NATIONAL BANK,10000-0000007010,,,
217,"COMMUNITY TRUST BANK, N. A.",10000-0000007030,Community West Bank,36120,85.988016
219,CITIZENS NAT'L BANK,10000-0000007051,Citizens National Bank,947,89.21654672
220,FIRST NAT BANK OF NORTH EAST,10000-0000007064,,,
221,FIRST NATIONAL BANK OF RIVER F,10000-0000007087,First National Bank Of Nevada,45868,85.1500871
226,1ST. NAT'L BANK OF MARYSVILLE,10000-0000007353,,,
227,FIRST COMMERCE BANK,10000-0000007431,First Commercial Bank,1527,87.6694348
228,FNB OF THE ROCKIES,10000-0000007435,,,
229,FIRST NATIONAL BANK OF ARVADA,10000-0000007501,1st National Bank Of Arizona,17262,87.75058518
230,FIRST NATIONAL BANK OF BELLS/S,10000-0000007524,First National Bank & Trust Co Of Newtown,1573,82.61449096
231,NEW RICHMOND NATIONAL BANK,10000-0000007542,,,
232,FIRST NATIONAL BANK OF NWGA,10000-0000007549,First National Bank Of Nevada,45868,91.61755991
234,FIRST NATIONAL BANK - COLORADO,10000-0000007637,,,
235,FIRST-KNOX NATIONAL BANK,10000-0000007638,First-Knox National Bank,74240,100
237,FIRST NATIONAL BK OF LAYTON,10000-0000007685,First National Bank & Trust Co Of Newtown,1573,85.98764107
238,GLENS FALLS NATIONAL BANK,10000-0000007699,Glens Falls National Bank & Trust,136396,80.54617768
240,THE HUTINGTON NATIONAL BANK,10000-0000007745,Kingston National Bank,114621,84.419589
241,OZONA NATIONAL BANK,10000-0000007748,Ozona National Bank,47652,100
243,AMERICAN NATIONAL BANK & TRUST,10000-0000007788,American National Bank & Trust Of Roanoke,53987,100
244,BERTHOUD NATIONAL BANK,10000-0000007995,,,
246,FIRST NAT'L OF MCCONNELLSBURG,10000-0000008083,,,
247,FIRST NATIONAL BANK OF CHASKA,10000-0000008378,First National Bank Of AK,46088,87.17811094
249,BLUE BALL NATIONAL BANK,10000-0000008421,Blue Ball National Bank,17874,100
250,FIRST NATL. BANK OF MILLSTADT,10000-0000008425,,,
251,BEREA NATIONAL BANK,10000-0000008435,EH National Bank,170889,80.58368212
254,"PROGRESSIVE BANK, NA",10000-0000008604,Progressive Bank,16229,100
255,FALLS CITY NATIONAL BANK,10000-0000008606,,,
256,FIRST NATIONAL BANK -HARTFORD,10000-0000008671,First Convenience Bank,27555,81.00433756
259,FIRST NATL BANK OF MANHATTAN,10000-0000008713,,,
260,ONTARIO NATIONAL BANK,10000-0000008717,,,
261,FIRST NATIONAL BANK OF ELK RIV,10000-0000008757,First National Bank Of Elmer,36772,88.11136571
262,1ST NATIONAL BANK OF SPRINGDAL,10000-0000008763,First National Bank Of Nevada,45868,83.12607764
263,FIRSTBANK SOUTHWEST,10000-0000008769,FirstBank Southwest,171454,100
265,FIRST NATIONAL BANK OF BYERS,10000-0000008787,First National Bank & Trust Co Of Newtown,1573,86.01939194
266,"ARMED FORCES BANK, NA",10000-0000008796,,,
267,GRANGE NATIONAL BANK,10000-0000008845,,,
268,OLD NATIONAL BANK,10000-0000008846,Olmsted National Bank,161886,84.38069839
270,LYNNVILLE NATIONAL BANK,10000-0000008868,Lynnville National Bank,125878,100
271,MOODY NATIONAL BANK,10000-0000008899,Moody Bank,66363,100
272,LUZERNE NATIONAL BANK,10000-0000008921,,,
273,THE 1ST NATL BANK OF PALMERTON,10000-0000008930,,,
275,FIRST NATIONAL BANK OF ALACHUA,10000-0000008980,1st National Bank Of Arizona,17262,86.1775952
276,NATIONAL BANK OF NORTH EAST,10000-0000009149,,,
277,PARK NATIONAL BANK,10000-0000009179,,,
278,FIRST NATIONAL BANK OF ALTAVIS,10000-0000009295,1st National Bank Of Arizona,17262,86.6147684
281,FIRST NATIONAL BANK OF WYOMING,10000-0000009428,First National Bank Of WY,113566,89.91579528
282,KINGSTON NATIONAL BANK,10000-0000009536,Kingston National Bank,114621,100
283,HARLEYSVILLE NATIONAL BANK,10000-0000009541,Greenville National Bank,93579,80.24462016
286,BROADWAY NATIONAL BANK,10000-0000009651,Broadway National Bank,63776,100
287,THE NEW TRIPOLI NATIONAL BANK,10000-0000009656,,,
288,THE BRIDGEHAMPTON NATIONAL BAN,10000-0000009669,,,
289,BRADFORD NATIONAL BANK,10000-0000009734,Bradford National Bank,17899,100
290,HERGET NATIONAL BANK,10000-0000009788,,,
291,THE FIRST NAT'L BK OF MERTZON,10000-0000009810,,,
292,SOMERVILLE NATIONAL BANK,10000-0000009859,,,
293,FIRST NATIONAL COMMUNITY BANK,10000-0000009868,1st National Community Bank,90753,100
294,"PENNSTAR BANK, NA",10000-0000009886,,,
296,FIRST MID-ILLINOIS BANK,10000-0000010045,,,
297,FIRST NATIONAL BANK OF ASHFORD,10000-0000010102,First National Bank Of AK,46088,85.92291801
298,FIRST NATIONAL BANK OF BALDWIN,10000-0000010106,First National Bank Of AK,46088,86.34493998
299,"FIRST HOPE BANK, NA",10000-0000010118,First Hope Mortgages,113526,100
301,FIRST NATL BANK OF WATERLOO,10000-0000010180,First Bank Of Waterloo,113455,86.69245157
302,1ST NATIONAL BANK OF HERMINIE,10000-0000010188,First National Bank Of MI,171409,87.02398211
303,YUKON NATIONAL BANK,10000-0000010196,,,
304,BATH NATIONAL BANK,10000-0000010235,EH National Bank,170889,84.10925138
305,MARSHALL NATIONAL BANK & TRUST,10000-0000010253,,,
306,CUMBERLAND VALLEY NATIONAL BAN,10000-0000010254,,,
307,"MIDSTATES BANK, NA",10000-0000010354,,,
308,FIRST VICTORIA NATIONAL BANK,10000-0000010360,,,
309,TEXAS GULF BANK,10000-0000010420,Texas Gulf Bank,99802,100
310,MINOTOLA NATIONAL BANK,10000-0000010440,,,
312,"OMEGA BANK, NA",10000-0000010506,,,
313,TRUSTMARK NATIONAL BANK,10000-0000010523,,,
314,"WELLS FARGO BANK WYOMING, NA",10000-0000010533,,,
315,THE CONWAY NATIONAL BANK,10000-0000010536,County National Bank,18332,86.54762287
316,FIRST NATL BANK OF MED. LODGE,10000-0000010575,,,
317,CITIZENS NATIONAL BANK OF HOPE,10000-0000010579,Citizens National Bank,947,89.74363239
318,ERWIN NATIONAL BANK,10000-0000010583,Lorain National Bank,11519,83.80013253
319,WELLS FARGO BANK SOUTH DAKOTA,10000-0000010592,,,
321,NATIONAL BANK OF S CAROLINA,10000-0000010660,National Bank Canada,2727,81.46312298
322,FIRST NATIONAL BANK OF SC,10000-0000010680,First National Bank & Trust Co Of Newtown,1573,92.0428811
323,FIRST NATIONAL BANK OF FREMONT,10000-0000010718,First National Bank Of MI,171409,86.10584215
325,FIRST NATIONAL BANK OF ABSECON,10000-0000010823,1st National Bank Of Arizona,17262,86.32255443
326,FIRST NATIONAL TOM BEAN,10000-0000011019,First National Bank & Trust Co Of Newtown,1573,84.34831095
327,COLUMBIA COUNTY FARMERS NAT'L,10000-0000011058,,,
328,M&I FIRST NATIONAL BANK,10000-0000011060,First National Bank & Trust Co Of Newtown,1573,88.64935991
329,"BANK ONE, OKLAHOMA, NA",10000-0000011230,,,
330,FIRST NATIONAL BANK/LONGMONT,10000-0000011253,First National Bank & Trust Co Of Newtown,1573,82.23089461
331,"HARRIS BANK BARRINGTON, N.A.",10000-0000011283,,,
333,"HARRIS BANK HINSDALE, N.A.",10000-0000011308,,,
335,AMERICAN NATIONAL BANK OF CHEY,10000-0000011380,American National Bank,244,89.89228052
336,FIRST NATIONAL BANK OF OKLAHOM,10000-0000011397,First National Bank & Trust Co Of Newtown,1573,82.83690247
337,FIRST NATIONAL BANK OF WACONIA,10000-0000011410,First National Bank Of WY,113566,86.6597509
338,FIRST NATIONAL BANK OF NEW RIC,10000-0000011412,First National Bank Of Nevada,45868,86.01332488
339,ILLINOIS NATIONAL BANK,10000-0000011443,,,
340,WILLIAMSTOWN NATIONAL BANK,10000-0000011483,,,
341,VARTAN NATIONAL BANK,10000-0000011512,,,
342,"EAGLE VALLEY BANK, N.A.",10000-0000011526,,,
344,EVANS NATIONAL BANK,10000-0000011583,Mars National Bank,2504,82.54496166
345,FIRST NAT'L BANK OF STRASBURG,10000-0000011640,,,
346,ANCHOR BANK FARMINGTON,10000-0000011687,,,
348,THE LEMONT NATIONAL BANK,10000-0000011715,Belmont National Bank,567,91.56351604
349,WOODSTOWN NAT'L BANK & TRUST,10000-0000011734,,,
351,"BREMER BANK, N.A. (ST CLOUD)",10000-0000011818,,,
352,FIRST NATIONAL BANK OF FLAGLER,10000-0000011872,First National Bank & Trust Co Of Newtown,1573,82.40687765
354,MERCEDES NATIONAL BANK,10000-0000011879,Merchants National Bank,66264,81.2823578
355,FNB OF GRANT PARK,10000-0000011952,,,
356,CENTRAL NATIONAL BANK OF ENID,10000-0000012044,Central National Bank,871,89.78000354
357,1ST NATIONAL BANK OF ANCHORAGE,10000-0000012072,1st National Bank Of Arizona,17262,83.49609312
358,INTEGRA BANK,10000-0000012132,Integrity Bank,2044,80.02651942
359,MCCLAIN COUNTY NATIONAL BANK,10000-0000012134,,,
360,"FIRST BETHANY BANK & TRUST, NA",10000-0000012169,,,
361,THE OLD POINT NATIONAL BANK OF,10000-0000012267,,,
362,1ST NATIONAL BANK OF ST. LOUIS,10000-0000012333,First Convenience Bank,27555,84.19656829
363,SOUTHWEST NATIONAL BANK,10000-0000012346,,,
364,U.S. BANK NATL ASSOC MONTANA,10000-0000012407,,,
365,UNION CENTER NATIONAL BANK,10000-0000012425,Union Center National Bank,8733,100
366,THE NATIONAL BANK OF GENEVA,10000-0000012450,National Bank Of Geneva,47428,100
368,THE NEFFS NATIONAL BANK,10000-0000012471,,,
369,FIRST NATIONAL BANK-GARRETSON,10000-0000012488,First National Bank & Trust Co Of Newtown,1573,81.2429584
370,SLEEPY HOLLOW NATIONAL BANK,10000-0000012515,,,
371,"FIRST BANK, NATIONAL ASSOC.",10000-0000012523,,,
373,YARDVILLE NATIONAL BANK,10000-0000012606,,,
374,EQUITY BANK NA,10000-0000012617,Equity Bank,1327,100
376,FIRST NAT'L BK OF BLUE IS,10000-0000012779,,,
377,"SAVANNAH BANK, N.A.",10000-0000012810,,,
378,FIRST LIBERTY NATIONAL BANK,10000-0000012850,First Liberty National,46070,100
379,FIRST NAT'L BANK EMPLOYEE OWNE,10000-0000012870,,,
380,STATE NATIONAL BANK,10000-0000012936,,,
381,CITIZEN NATIONAL BANK,10000-0000012955,Citizens National Bank,947,96.69985383
382,BUFFALO NATIONAL BANK,10000-0000012959,,,
383,"AMERIFIRST BANK, N.A.",10000-0000012962,Amerifirst Bank,181041,100
384,FIRST NATIONAL BANK OF GRAYSON,10000-0000012982,First National Bank & Trust Co Of Newtown,1573,83.81464326
385,THE STATE NATIONAL BANK WEST,10000-0000013022,,,
386,"BANK OF AMERICA, N.A.",10000-0000013044,,,
387,PIONEER NATIONAL BANK,10000-0000013078,,,
388,THE FNB OF MOUNT DORA,10000-0000013102,,,
389,FIRST FINANCIAL BANK OF CLEBUR,10000-0000013107,First Financial Bank,1548,85.54761535
390,WESTERN NATIONAL BANK,10000-0000013116,Western National Bank,17172,100
391,THE MAHOPAC NATIONAL BANK,10000-0000013121,,,
392,THE FIRST OF LONG ISLAND,10000-0000013126,,,
393,MIDWAY NATIONAL BANK,10000-0000013131,Broadway National Bank,63776,81.73926509
394,FIRST NATIONAL BANK OF BANGOR,10000-0000013202,First National Bank Of AK,46088,87.80563206
395,AMERICAN NAT'L BANK & TR,10000-0000013216,American National Bank Of TX,35234,87.18394304
396,STERLING NATIONAL BANK,10000-0000013295,Western National Bank,17172,81.62797582
397,"UNION PLANTERS BANK, N.A.",10000-0000013349,,,
400,U.S. BANK NATIONAL ASSOCIATION,10000-0000013405,,,
403,FIRST NATIONAL BANK IN TREMONT,10000-0000013579,First Convenience Bank,27555,82.70161212
404,STATE NATIONAL BANK OF TEXAS,10000-0000013614,,,
405,FIRST NATIONAL BANK OF TEXAS,10000-0000013623,,,
406,FIRST NATIONAL BANK OF HOMESTE,10000-0000013641,First National Bank Of MI,171409,85.17953512
407,AMCORE BANK N.A.,10000-0000013652,,,
408,"BANK ONE, LOUISIANA, NA",10000-0000013655,,,
409,"FIRST MIDWEST BANK, N.A.",10000-0000013660,First Midwest Bank,1566,100
