,respondentname,hmda_id,advertiser,advertiser_id,score
96044,FOCALPOINT FEDERAL CREDIT UNIO,5-0000012093,FocalPoint Federal Credit Union,124651,98.3060996
96060,VELOCITY CMTY FCU,5-0000012458,,,
96063,UNIVERSITY OF LOUISIANA FCU,5-0000012570,,,
96072,FIRST COMMONWEALTH,5-0000012765,,,
96076,TEXAS TECH FEDERAL CREDIT UNIO,5-0000012858,Texas Tech Credit Union,220634,98.38977218
96078,DISCOVERY FEDERAL CREDIT UNION,5-0000012935,Discovery Federal Credit Union,102528,100
96092,NBC UNIVERSAL EMPLOYEES FCU,5-0000013384,,,
96106,RYDER SYSTEM FCU,5-0000013652,,,
96110,DIAMOND LAKES FEDERAL CU,5-0000013762,,,
96115,AUBURN UNIVERSITY FED CU,5-0000013867,Auburn University,157431,82.21038911
96128,DIAMOND VALLEY FCU,5-0000014135,,,
96136,ONTARIO SHORES FCU,5-0000014462,,,
96142,LA CAPITOL FEDERAL CREDIT UNIO,5-0000014568,La Capitol Fed Credit Un,94222,98.35282897
96146,EASTERN NY FCU,5-0000014693,,,
96151,FRICK TRI-COUNTY FCU,5-0000014775,,,
96159,COMMUNITY POWERED FCU,5-0000015185,,,
96173,KENNEDY SPACE CTR FCU,5-0000015605,,,
96180,PREMIER FCU,5-0000015863,,,
96185,UNIVERSITY OF TOLEDO F C U,5-0000016174,,,
96190,WINDTHORST FEDERAL CREDIT UNIO,5-0000016373,Windthorst Federal Credit Union,203701,98.30776317
96191,AGRICULTURE FEDERAL CU,5-0000016400,Agriculture Federal Credit Union,81647,80.52097021
96210,UNFCU,5-0000017107,,,
96214,LAN-FAIR FEDERAL CREDIT UNION,5-0000017327,Pen Air Fed Credit Union,7901,83.50006013
96219,BOURNS EMPLOYEES F C U,5-0000017415,,,
96224,ARMY AVIATION CENTER FED CU,5-0000017642,Army Aviation Center Federal Credit Union,54066,80.29009124
96225,CAREPOINT FEDERAL CREDIT UNION,5-0000017747,,,
96229,SAINT PIUS X CHURCH FCU,5-0000018090,,,
96230,HENRICO FCU,5-0000018175,,,
96234,PG COMMUNITY FCU,5-0000018271,,,
96252,BULLLDOG FEDERA CREDIT UNION,5-0000018868,Bulldog Federal Credit Union,82355,95.62306637
96253,ROCK VALLEY CREDIT UNION,5-0000018944,Rock Valley Credit Union,89506,100
96256,GREENVILLE FCU,5-0000019116,,,
96261,PURDUE FEDERAL CREDIT UNION,5-0000019307,Purdue Federal Credit Union,109294,100
96269,IBM SOUTHEAST EMPLOYEES FCU,5-0000019659,,,
96270,ST AGNES EMP FED CREDIT UNION,5-0000019668,,,
96275,FIRST TECHNOLOGY FEDERAL CU,5-0000019976,,,
96281,XCEED FINANCIAL FCU,5-0000020068,,,
96287,GREATER METRO FCU,5-0000020382,,,
96289,PROPONENT FCU,5-0000020448,,,
96292,KAIPERM NW FEDERAL CREDIT UNIO,5-0000020516,Kaiperm Federal Crdt Un,37483,91.75480508
96319,GREATER NILES CFCU,5-0000022114,,,
96329,ADP FCU,5-0000022488,,,
96331,NORTHEAST ALLIANCE FCU,5-0000022548,,,
96340,PUBLIX EMPOYEES FCU,5-0000023020,,,
96345,EASTERN MAINE MEDICAL FCU,5-0000023310,,,
96348,EDUCATION AFFILIATES FCU,5-0000023500,,,
96351,SYNERGY FEDERAL CREDIT UNION,5-0000023605,Synergy Credit Union,212450,80.5064765
96358,NOTRE DAME FCU,5-0000024034,,,
96370,S P E FEDERAL CREDIT UNION,5-0000024187,SPE Federal Credit Union,99239,89.5650946
96378,OPERATING ENGINEERS LOCAL FCU,5-0000024235,,,
96389,ARGENT FEDERAL CU,5-0000024313,,,
96393,TRUSTONE FNCL FCU,5-0000024354,,,
96399,SAN ANTONIO CREDIT UNION,5-0000024382,San Antonio Federal Credit Union,8255,83.94118993
96405,DENVER COMMUNITY CREDIT UNION,5-0000024419,Denver Community Federal Credit Union,1182,100
96413,GOVERNMENT EMPLOYEES FCU,5-0000024465,,,
96419,DADE COUNTY FEDERAL CREDIT UNI,5-0000024508,Dade County Fed Crdt Un,36243,96.80639239
96425,AMERICA'S FIRST FCU,5-0000024534,Americas 1st,26140,84.11892378
96427,SAN FRANCISCO FCU,5-0000024542,City & County Of San Francisco,80394,90.65489449
96441,SAND SPRINGS COMMUNITY FCU,5-0000024613,,,
96444,FIRST PRIORITY FCU,5-0000024649,,,
96467,MAYO EMPLOYEES FEDERAL CU,5-0000024748,Mayo Employees Federal Credit Union,196461,82.7551471
96470,WASATCH PEAKS FEDERAL CU,5-0000024780,,,
96472,GATEWAY METRO FEDERAL CU,5-0000024797,,,
96474,SELF HELP FEDERAL CREDIT UNION,5-0000024802,,,
96475,REALTORS FCU,5-0000024806,,,
96477,CHARLOTTE METRO FCU,5-0000024808,,,
96479,S.C. STATE FEDERAL CU,5-0000024824,,,
96483,ORION FEDERAL CREDIT UNION,5-0000024831,Orion Federal Credit Union,105154,100
96484,HAWAII CENTRAL FCU,5-0000024839,,,
96510,CORNERSTONE CREDIT UNION,5-0000060189,Corner Stone Credit Union,182382,84.00944129
96513,SUPERIOR CREDIT UNION,5-0000060215,Superior Credit Union,99654,100
96521,NORTHWEST CMNTY CU,5-0000060276,,,
96525,FAIRLESS CREDIT UNION,5-0000060369,Fairwinds Credit Union,10552,81.17639263
96526,MINNESOTA POWER EMPL CU,5-0000060377,,,
96554,UIECU,5-0000060583,,,
96555,CITIZENS COMMUNITY CU,5-0000060600,,,
96582,COMMUNITY CREDIT UNION OF FL,5-0000060816,Community Credit Union,1008,92.99718258
96592,ASTERA CREDIT UNION,5-0000060920,Astera Credit Union,101048,100
96616,EDISON FINANCIAL CREDIT UNION,5-0000061121,Edison Financial Credit Union,113105,100
96620,FIRST FLORIDA CU,5-0000061170,,,
96636,COMMONWEALTH CREDIT UNION  INC,5-0000061437,,,
96641,CITY CNTY CU OF FT LAUDERDALE,5-0000061525,,,
96647,121 FINANCIAL CREDIT UNION,5-0000061605,121 Financial Credit Union,71926,100
96690,COMMUNITY SCH CU,5-0000062027,,,
96691,COMMUNITY DRIVEN CU,5-0000062029,,,
96694,MICHIGAN SCH & GOVT CU,5-0000062049,,,
96725,SERVICE ONE CREDIT UNION,5-0000062484,Service Credit Union,8297,89.81016675
96748,NORTHERN STATES PWR ST PAUL CU,5-0000062733,,,
96763,NILES TWP SCH CU,5-0000062854,,,
96768,PARTNER COLORADO CREDIT UNION,5-0000062903,,,
96774,ST. PAUL POSTAL EMPLOYEES CU,5-0000062978,,,
96806,MID-ILLINI CREDIT UNION,5-0000063541,Mid-Illini Credit Union,94715,100
96812,CHAMPION COMMUNITY CU,5-0000063614,,,
96825,JEFFERSON CREDIT UNION,5-0000063834,Jeffco Credit Union,74927,83.88593677
96845,FIRST CLASS CU,5-0000064231,First Class Inc,36716,82.10362138
96851,DES MOINES METRO CU,5-0000064380,,,
96854,DUTRAC COMMUNITY CU,5-0000064471,,,
96904,AMERICAN 1  CREDIT UNION,5-0000065595,American 1 Credit Union,111283,100
96923,SELF HELP CREDIT UNION,5-0000066258,,,
96929,STATE EMP CREDIT UNION OF MD,5-0000066330,,,
96933,INDUSTRIAL CU OF WHATCOM CTY,5-0000066337,,,
96953,PCM EMPL CREDIT UNION,5-0000066424,,,
96962,AM COMMUNITY CREDIT UNION,5-0000066535,ACE Community Credit Union,81606,91.714402
96965,CALIFORNIA COAST CU,5-0000066584,,,
96987,STATE EMPLOLYEES CREDIT UNION,5-0000066736,State Emp Credit Union,8385,97.70998261
97022,NEWPORT NEWS MUNI EMPL CU,5-0000066970,,,
97024,CO-OP CREDIT UNION,5-0000066983,,,
97045,CREDIT UNON OF THE ROCKIES,5-0000067226,,,
97057,JACKSONVILLE POSTAL & PROF CR,5-0000067298,,,
97072,ALBANY FEDERAL EMPLOYEES C. U.,5-0000067394,,,
97074,1ST CU OF GAINESVILLE,5-0000067432,,,
97106,SERVICE 1ST CREDIT UNION,5-0000067645,Service First Federal Credit Union,89715,85.76872831
97110,KNOXVILLE POST OFFICE CU,5-0000067666,,,
97115,HARVARD UNIVERSITY E C U,5-0000067696,Harvard University,84076,82.64246851
97122,HERITAGE SOUTH COMMUNITY CU,5-0000067748,,,
97124,WEST VIRGINIA CENTRAL CU,5-0000067774,,,
97131,BOSTON FIREFIGHTERS C U,5-0000067837,,,
97136,MASS STATE EMPLOYEE CREDIT UNI,5-0000067866,State Emp Credit Union,8385,82.27211936
97141,WORKMEN'S CIRCLE CREDIT UNION,5-0000067892,Workmens Circle Credit Union,90687,100
97147,NASHVILLE POST OFFICE CU,5-0000067922,,,
97151,ALDEN CREDIT UNION,5-0000067951,Alden Credit Union,100825,100
97155,CORNERSTONE FINANCIAL C U,5-0000067972,,,
97223,CALIFORNIA COMMUNITY CU,5-0000068321,California Cmnty Crdt Un,26565,82.73345672
97231,EATON FAMILY CREDIT UNION,5-0000068354,Family Credit Union,18725,80.72179174
97234,SCHOOL EMPLOYEES CU OF WA,5-0000068362,,,
97249,HERITAGE COMMUNITY CU,5-0000068395,Heritage Community Bank,1915,85.02062893
97291,RIVER VALLEY,5-0000068475,River Valley Investment Service,89480,81.64977006
97292,TROPICAL FINANCIAL CU,5-0000068476,Tropical Financial Credit Union,53182,80.06875538
97313,SOFCU COMMUNITY CU,5-0000068534,,,
97331,QUALTRUST CU,5-0000068569,,,
97346,FIRST LEGACY CCU,5-0000068593,,,
97356,CENTRAL MN CU,5-0000068604,,,
97358,YOUR COMMUNITY CREDIT UNION,5-0000068606,US Community Credit Union,53265,89.08970489
97361,ONE NEVADA CREDIT UNION,5-0000068613,Nevada Federal Credit Union,12014,86.05713108
97362,AUTOTRUCK FINANCIAL CU,5-0000068617,Autotruck Financial Credit Union,169291,80.7165329
97364,COMMUNITY STAR CREDIT UNION,5-0000095008,Community Credit Union,1008,87.90740658
97367,FRIENDS & FAMILY CREDIT UNION,5-0000096750,,,
97369,MIDUSA CREDIT UNION,5-0000096755,MidUSA Credit Union,94725,90.57875996
97370,AURGROUP FINANCIAL CU,5-0000096761,,,
97371,CHRISTIAN COMMUNITY CU,5-0000097068,Christian Community Credit Union,82715,82.32604041
97372,SAN FRANCISCO FIRE CU,5-0000097069,City & County Of San Francisco,80394,81.06151001
97374,FISCAL CREDIT UNION,5-0000097080,Local Credit Union,137353,81.74214633
97379,SEFCU SERVICES LLC,5-01-0940996,Zen Garden Restaurant,168647,86.77276193
97380,ALASKA USA MORTGAGE CO  LLC,5-04-3660901,Oak Mortgage Co,85398,85.69703286
97386,PREMIER LENDING ALLIANCE,5-26-4261029,,,
97391,MEMBER HOME LOAN  LLC,5-36-4569955,Catholic Home Loan,26586,80.23679197
97397,CUCORP  INC.,5-62-1222556,,,
97402,CU HOME MORTGAGE SOLUTIONS  LL,5-91-2081649,,,
97410,FIRST LIBERTY FINANCIAL GROUP ,7-01-0639308,Liberty Financial Group,37583,83.47120967
97412,1ST SIGNATURE LENDING  LLC,7-01-0737466,Signature Banc & Lending,16531,84.05580904
97419,ACCEPTANCE CAPITAL MORTGAGE,7-02-0640271,Acceptance Capital Mortgage,44252,83.25575863
97420,ALLIANCE FINANCIAL RESOURES,7-02-0793125,,,
97428,RELIANT MOPRTGAGE CO LLC,7-04-3514463,Oak Mortgage Co,85398,87.83104267
97430,POLI MORTGAGE GROUP INC,7-04-3554142,,,
97434,CORNERSTONE RESIDENTIAL MTG,7-04-3792380,,,
97493,PROVIDENT FUNDING GROUP INC,7-1283200001,,,
97499,FRANKLIN FIRST FINANCIAL  LTD,7-13-3753941,,,
97524,PREMIUM MORTGAGE CORP,7-16-1566654,Premium Mortgage,7838,100
97560,GEORGETOWN MORTGAGE  LLC,7-20-0353048,A&D Mortgage,168723,80.00584574
97566,PREMIER HOME MORTGAGE  INC.,7-20-1091645,,,
97571,SERVICE FINANCE COMPANY LLC,7-20-1934942,Wise Finance,110909,80.36592108
97579,PRIME MORTGAGE LENDING  INC,7-20-2409656,Reverse Mortgage Lending,166930,80.29571079
97584,SUNSTREET MORTGAGE LLC,7-20-2715422,Sunstreet Mortgage,71242,100
97588,CASTLE & COOKE MORTGAGE  LLC,7-20-2928975,,,
97590,MAIN STREET HOME LOANS LLC,7-20-3135690,Zenith Home Loans,203780,83.57684255
97599,CAPGROW HOME MORTGAGE LLC,7-20-4515212,,,
97600,1ST PORTFOLIO LENDING CORP.,7-20-4685477,,,
97601,MIDWEST EQUITY MORTGAGE  LLC,7-20-4866754,,,
97603,CMC HOME LENDING,7-20-5113139,,,
97612,NATIONS RELIABLE LENDING,7-20-5973457,,,
97614,VENTA FINANCIAL GROUP  INC.,7-20-8083209,,,
97615,KENILWORTH FINANCIAL,7-20-8143411,,,
97620,CRESTMARK MORTGAGE,7-20-8693961,,,
97621,CARRINGTON MORTGAGE SERVICES,7-20-8745846,,,
97623,MAVERICK FUNDING CORP,7-20-8921389,Maverick Funding,94603,100
97639,NORCOM MORTGAGE,7-22-2894356,Norcal Mortgage,57014,85.17109847
97644,MILLENIUM HOME MORTGAGE LLC,7-22-3537421,US Home Mortgage,8709,84.6556755
97654,HOME FINANCE OF AMERICA,7-23-2785376,Home Finance Of America,19260,100
97655,INTEGRATED FINANCIAL GROUP,7-23-2833737,Integrated Financial,2043,93.1783126
97674,KONDAUR CAPITAL CORPORATION,7-26-0423240,Foundation Capital Corp,124692,82.53447418
97677,FIRST NATIONAL MORTGAGE LLC,7-26-0591964,First Me Mortgage,64777,86.66693406
97683,BANKERS MORTGAGE LENDING,7-26-1117897,Bankers Mortgage Center,91523,82.05203492
97687,WESTERN BANCORP,7-26-1442480,,,
97694,ANDROMEDA MORTGAGE GROUP  LLC,7-26-2434560,Crain Mortgage Group,102251,83.73532665
97698,AMERICAN LENDING,7-26-3264687,Americas Lending Prtnrs,89,92.68226754
97704,NOLA LENDING GROUP  LLC,7-26-4587819,Lending Group,2267,90.5580195
97705,LOANDEPOT.COM,7-26-4599244,Loanratedepot.com,114803,81.20780976
97708,DIAMOND RESIDENTIAL MTG CORP,7-27-0222046,Diamond Residential Mortgage,146913,100
97709,ONY GLO  INC.,7-27-0267182,,,
97710,INTERLINC MORTGAGE SVCS LLC,7-27-0349391,,,
97711,ALPINE MORTGAGE LLC,7-27-0736707,A&D Mortgage,168723,89.20605476
97712,SCENIC OAKS FUNDING,7-27-0746986,,,
97716,NXT CAPITAL  LLC,7-27-1839540,Z Capital Partners Services,144742,92.0089138
97718,AMERICAN NEIGHBORHOOD MORTGAGE,7-27-2389039,,,
